function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm,computation_error,mean_best_so_far,std_best_so_far,mean_distance_to_minimum,std_distance_to_minimum,mean_improvement,std_improvement,mean_relative_improvement,std_relative_improvement,mean_step_size,std_step_size,mean_gradient_norm,std_gradient_norm,mean_cosine_similarity,std_cosine_similarity,mean_gradient_angle,std_gradient_angle
rastrigin,2,0,gradient_descent,function,4.8385046898112005,30.92319368094563,1000,0.13678407669067383,False,3.7905272829858006,30.92319368094563,69.02501959750252,53.78350600595555,False,20.263457736464446,3.7097219376656545,3.850724391925865,0.47160979017878285,-7.7326036950537995,41.65039774243217,58.02291696187277,7.684932544633118,0.7212917442847668,0.11286154102509623,72.18290420470639,11.068567860203837,-0.87908980971652,0.18519405347122267,158.6609860411488,20.249067971021898
rastrigin,2,1,sgd,function,4.8385046898112005,46.86130378712187,1000,0.14545774459838867,False,3.4540506827236186,46.86130378712187,69.02501959750252,59.13918368953008,False,17.945530361167418,2.8677773949924066,3.6132987695775367,0.3058080466703937,-9.517438744025648,46.212519877768194,62.82465569642738,5.940789149121022,0.7277225982845185,0.1107627831978914,72.83140692527174,10.843273887346815,-0.8914994782287331,0.17699840997775346,160.23554832051292,19.64006383504583
rastrigin,2,2,sgd_momentum,function,4.8385046898112005,66.15722792807779,1000,0.1506481170654297,False,7.97599480076516,66.15722792807779,69.02501959750252,33.047883885119724,False,3.104806032934919,4.279052497907961,7.924470848966231,2.2247995170156436,-1.8894412863887489,23.37636853803024,93.5681904659709,8.864338177879432,0.40285052893183676,0.4710719123080214,40.33315111675116,16.0687859484318,-0.7639544042625972,0.5397219852712625,158.05910118079893,45.431524140277446
rastrigin,2,3,momentum,function,4.8385046898112005,50.45628427557486,1000,0.14005589485168457,False,7.011862176250541,50.45628427557486,69.02501959750252,35.889814282283865,False,2.6505195437303968,2.7755155263476508,6.92586193138385,1.6358568330266696,-2.3019614804395188,35.26220228929096,94.50927475318622,5.749662631044875,0.23230149650719614,0.17546656268936986,37.36410902666757,7.206864285228162,-0.9416978902470836,0.25646044537911045,173.87253287359638,22.3896883508148
rastrigin,2,4,rmsprop,function,4.8385046898112005,19.899074983015616,74,0.01296377182006836,True,4.449542703906751,19.899074983015616,69.02501959750252,1.309995761688983e-07,False,23.827530918627335,6.814765721465515,4.510889439962659,0.09255365334589626,1.1622882431031656,1.552314082347551,50.63970537639941,14.117234595187762,0.006833009553104172,0.008740126998698522,25.901683828745732,27.885013675554887,0.999257808716519,0.0026610545650581643,0.9241768461228556,2.00679389520332
rastrigin,2,5,adam,function,4.8385046898112005,19.899075126058698,1000,0.1551225185394287,False,4.449554724520883,19.899075126058698,69.02501959750252,0.010643705661642446,False,24.297542395956807,7.697460996969849,4.517587913364418,0.10413948611776094,0.0884264335987913,0.1140053966518473,49.666045743905975,15.9457958091276,0.00050887191495591,0.0005642317525058209,25.019336215721193,28.386747163436976,0.9999973964244309,5.7871056829160645e-06,0.06838604343549493,0.11143366614597515
rastrigin,2,6,trust-exact,function,4.8385046898112005,19.899074983015623,7,0.0051648616790771484,True,4.449542705183562,19.899074983015623,69.02501959750252,1.261500432360174e-06,False,30.05125511714232,11.32245567411148,4.573536891648603,0.13582530704986234,9.359259964780172,13.435585106040518,37.74685209907673,23.45521027106895,0.06632006565350299,0.08824309448496837,43.00324137613081,32.8111368739647,0.4119934319615731,0.8668427281252996,53.265625050032206,72.68802998022069
rastrigin,2,7,trust-krylov,function,4.8385046898112005,19.899074983015673,7,0.005265712738037109,True,4.44954271889522,19.899074983015673,69.02501959750252,6.458413441237456e-06,False,30.03614452942946,11.323296523454223,4.571651046782782,0.13617423383982086,9.355772982886485,13.451323167132982,37.7781546735646,23.456952145685907,0.0660254027478156,0.08828971426652467,42.74619551633867,32.730005494948806,0.2952998151495109,0.8156174888157854,63.13316787620679,66.4938953835062
rastrigin,2,8,gradient_descent,function,3.2022947492143765,20.16500393430296,1000,0.13182759284973145,False,2.5492322939995686,20.16500393430296,71.852351183807,77.6140713332463,False,16.296517961641893,0.6161543599350093,2.9334708981044786,0.39084286479411934,-29.636040958329065,83.50481070526035,47.93341071723698,1.9685834770980528,0.7797879292947415,0.042988423533884386,78.05632946427261,3.521299337574541,-0.9972025289189835,0.03625703559553096,177.99194901984555,4.040763494238425
rastrigin,2,9,sgd,function,3.2022947492143765,21.64172232894459,1000,0.14164209365844727,False,2.531671640642659,21.64172232894459,71.852351183807,78.34403699445525,False,16.30519351633154,0.6027751908267175,2.933909751144001,0.3905575835728388,-29.78601270844766,83.67070496434866,47.9056927382252,1.9258376767653866,0.7793377907037491,0.04209179936886744,78.01159857417788,3.411462036043939,-0.9971616681714462,0.03601708416762082,177.92621122328683,4.0363292641669535
rastrigin,2,10,sgd_momentum,function,3.2022947492143765,7.469829715062012,1000,0.14929986000061035,False,2.1915845928687494,7.469829715062012,71.852351183807,42.95549180537558,False,6.339207571257693,2.592899392093673,3.2612625494204632,2.371486430024608,-1.9555498645064509,24.3866528008854,79.74653740340477,8.28418856208627,0.2774090228867657,0.17444716346903225,45.88997462807509,11.213765441056669,-0.8577552799046856,0.38294370412386347,165.4228728254309,32.862350459712594
