optimizer,lr,momentum,noise_scale,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
SGD+Momentum,0.00021544346900318845,0.95,0.1,2082.067987461328,3.5644715502066218,1000.0,0.0,934.7078070316222,1.8951300323757636
SGD+Momentum,0.1,0.8,0.001,2075.1879924481264,3.841385742478066e-07,1000.0,0.0,929.5996695369671,0.0007207245505460115
SGD+Momentum,0.002154434690031882,0.8,0.1,2075.3585808006533,0.15989111040890772,1000.0,0.0,930.1775011104653,0.3361592492860841
SGD+Momentum,0.01,0.95,0.001,2075.1879920908973,1.8443680662125924e-07,1000.0,0.0,929.5994084596783,0.0004045381864003816
SGD+Momentum,0.002154434690031882,0.99,0.1,2075.190627535598,0.0015178636677934572,1000.0,0.0,929.5599814851676,0.03254342262668374
SGD+Momentum,0.001,0.95,0.01,2075.1880032374897,8.116172000277116e-06,1000.0,0.0,929.6039056157108,0.002477955815135966
SGD+Momentum,0.004641588833612777,0.8,0.01,2075.1879979447003,3.7381663636208427e-06,1000.0,0.0,929.6025682924125,0.0021505163430267345
SGD+Momentum,0.1,0.95,0.01,2075.1882400935037,0.00011763802295203964,1000.0,0.0,929.6026853980359,0.014749238697875276
SGD+Momentum,0.001,0.95,0.01,2075.1880031433966,9.21739994860578e-06,1000.0,0.0,929.6033956095387,0.003175843235849463
SGD+Momentum,0.00046415888336127773,0.95,0.01,2075.6582965649472,0.4346106224293193,1000.0,0.0,930.5684703290741,0.5693710596334783
SGD+Momentum,0.004641588833612777,0.8,0.1,2075.1883240913194,0.00016397216227706106,1000.0,0.0,929.5980065735603,0.017629851906500394
SGD+Momentum,0.021544346900318822,0.8,0.001,2075.1879919970806,8.053372917631451e-08,1000.0,0.0,929.5993853433376,0.00030154742971940144
SGD+Momentum,0.004641588833612777,0.95,0.001,2075.1879920170713,8.085415441668492e-08,1000.0,0.0,929.5993994589569,0.0002893369781710553
SGD+Momentum,0.0001,0.99,0.01,2075.3148362978054,0.1252161922913552,1000.0,0.0,929.9588925038599,0.3297121803687545
SGD+Momentum,0.0001,0.99,0.1,2075.315577337079,0.12195720782228611,1000.0,0.0,929.9632186266829,0.32584246764801933
SGD+Momentum,0.021544346900318822,0.9,0.01,2075.1880155842277,1.3290661465729643e-05,1000.0,0.0,929.599314241835,0.004878039032015825
SGD+Momentum,0.1,0.99,0.001,2075.1884525948653,0.00016867975683147415,1000.0,0.0,929.5955110828465,0.020081101993447998
SGD+Momentum,0.00046415888336127773,0.99,0.01,2075.188751977745,0.00018417112212410739,1000.0,0.0,929.5983289187491,0.024096488470466998
SGD+Momentum,0.00046415888336127773,0.95,0.01,2075.6602022635843,0.4404323702532182,1000.0,0.0,930.5693032589925,0.5733186561047018
SGD+Momentum,0.0001,0.95,0.1,2086.3213412575287,3.551285338701192,1000.0,0.0,937.3093946586636,1.7628635850243806
SGD+Momentum,0.046415888336127774,0.95,0.01,2075.188085277112,5.5139117056060376e-05,1000.0,0.0,929.5996537651578,0.008283021542008131
SGD+Momentum,0.0001,0.99,0.001,2075.3149925947414,0.12521237930323287,1000.0,0.0,929.9589260340438,0.32971453592363237
SGD+Momentum,0.0001,0.9,0.1,2089.259112167556,3.675829566472841,1000.0,0.0,938.7289280582108,1.7370641027162008
SGD+Momentum,0.00021544346900318845,0.99,0.01,2075.1896993915734,0.0005563674976470023,1000.0,0.0,929.681425577465,0.015368919748458481
SGD+Momentum,0.046415888336127774,0.9,0.1,2075.1940338734703,0.0037738424275028395,1000.0,0.0,929.6222340882152,0.06725257721028628
SGD+Momentum,0.004641588833612777,0.8,0.1,2075.188261777529,0.00012520991827457347,1000.0,0.0,929.605030490096,0.013717590840210597
SGD+Momentum,0.021544346900318822,0.9,0.01,2075.1880231348746,2.056559402370299e-05,1000.0,0.0,929.601508573116,0.005866956063198938
SGD+Momentum,0.00021544346900318845,0.8,0.1,2088.9731093603973,3.6709075933266693,1000.0,0.0,938.6006484235459,1.7432404919234064
SGD+Momentum,0.00021544346900318845,0.9,0.1,2085.8959194501294,3.52368094621897,1000.0,0.0,937.0852439760245,1.7670726216873434
SGD+Momentum,0.1,0.99,0.01,2075.1899782733676,0.0009265064496322112,1000.0,0.0,929.5927284589145,0.03308961378010912
SGD+Momentum,0.004641588833612777,0.99,0.01,2075.1885775041983,0.0002530087932834867,1000.0,0.0,929.5717600961698,0.017139890778577926
SGD+Momentum,0.00046415888336127773,0.99,0.001,2075.1887333975747,0.00019221559359410838,1000.0,0.0,929.598122091557,0.024375338155561716
SGD+Momentum,0.00021544346900318845,0.99,0.1,2075.190115818072,0.0005842723139553705,1000.0,0.0,929.6842483588168,0.019529367381429092
SGD+Momentum,0.01,0.8,0.01,2075.1879968829735,3.4502968522230693e-06,1000.0,0.0,929.5989685896684,0.0018207603059632038
SGD+Momentum,0.00046415888336127773,0.99,0.1,2075.189170647419,0.0005719963188344377,1000.0,0.0,929.6060014550081,0.028066204382766836
SGD+Momentum,0.021544346900318822,0.8,0.001,2075.1879919976445,6.98612589954623e-08,1000.0,0.0,929.5993657891391,0.00027971034435242664
SGD+Momentum,0.002154434690031882,0.9,0.001,2075.1880008240146,8.384680029874469e-06,1000.0,0.0,929.6035870920263,0.002412778376360601
SGD+Momentum,0.004641588833612777,0.95,0.1,2075.189426395296,0.0009746153832969811,1000.0,0.0,929.6034663773677,0.03390279690667903
SGD+Momentum,0.046415888336127774,0.8,0.01,2075.188027291494,2.4741195202415754e-05,1000.0,0.0,929.6000193835771,0.007769266618079778
