function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm
ackley,2,0,gradient_descent,first_order,6.195639141003665,11.525286154616264,24,0.007051706314086914,True,6.060206233831323,11.525286154616264,7.197461755544695,2.402521352750051e-07
ackley,2,0,sgd,first_order,6.195639141003665,11.52528618583916,1000,0.1923820972442627,False,6.060220567850453,11.52528618583916,7.197461755544695,0.0018237128520777902
ackley,2,0,momentum,first_order,6.195639141003665,11.525286154616717,262,0.04841756820678711,True,6.06020611927076,11.525286154616717,7.197461755544695,6.909145263707888e-06
ackley,2,0,rmsprop,first_order,6.195639141003665,11.52528615461626,37,0.011170148849487305,True,6.060206231399769,11.52528615461626,7.197461755544695,7.25593189590295e-08
ackley,2,0,adam,first_order,6.195639141003665,11.525286154616271,631,0.11553335189819336,True,6.060206247793944,11.525286154616271,7.197461755544695,9.389426747762664e-07
ackley,2,0,BFGS,second_order,6.195639141003665,11.525286154616339,7,0.015458822250366211,True,6.060206224498523,11.525286154616339,7.197461755544695,2.847832387611914e-06
ackley,2,0,newton-cg,second_order,6.195639141003665,11.525286175159286,14,0.010560035705566406,True,6.060182341816712,11.525286175159286,7.197461755544695,0.0014704861896748798
ackley,2,0,trust-exact,second_order,6.195639141003665,11.525286154694736,21,0.02750229835510254,True,6.060207640549229,11.525286154694736,7.197461755544695,9.096574098023013e-05
ackley,2,0,trust-krylov,second_order,6.195639141003665,11.525286154672916,21,0.0274507999420166,True,6.060205031553456,11.525286154672916,7.197461755544695,7.729040141170918e-05
rastrigin,2,0,gradient_descent,first_order,7.702532370291167,25.71440601036338,1000,0.12023258209228516,False,3.2061029064506767,25.71440601036338,68.92467881548423,64.09030643434998
rastrigin,2,0,sgd,first_order,7.702532370291167,33.75231346095157,1000,0.13670921325683594,False,3.0448702568494275,33.75231346095157,68.92467881548423,82.82394900963514
rastrigin,2,0,momentum,first_order,7.702532370291167,71.17242371992253,1000,0.13623905181884766,False,8.110030894549281,71.17242371992253,68.92467881548423,47.442069673138626
rastrigin,2,0,rmsprop,first_order,7.702532370291167,64.67061469356776,60,0.013990402221679688,True,8.021180986680768,64.67061469356776,68.92467881548423,1.7723433032303363e-07
rastrigin,2,0,adam,first_order,7.702532370291167,64.67061469357063,1000,0.14410090446472168,False,8.021180964051487,64.67061469357063,68.92467881548423,4.761650650054192e-05
