iteration,timestamp,function_value,gradient_norm,x1,x2
0,3.886222839355469e-05,23.169213079533765,9.626881754656337,-4.440780115006694,1.8570635556423205
1,6.961822509765625e-05,22.77290247457109,9.626881754656337,-4.409157338517603,1.825440779309879
2,8.916854858398438e-05,22.4892509982743,9.544192469679368,-4.386293586216155,1.8026867653015382
3,0.0001068115234375,22.25402371633772,9.484566621258834,-4.367188367726366,1.7837290929771916
4,0.0001652240753173828,22.04687549309516,9.434834119652072,-4.350254557858144,1.7669637163591123
5,0.0001862049102783203,21.858379030393653,9.390820090512896,-4.3347559183112105,1.7516478410512737
6,0.00020241737365722656,21.683287031308378,9.350589078853515,-4.320282298145272,1.7373680944581056
7,0.00021719932556152344,21.518338751058913,9.313063305123267,-4.3065786149388074,1.7238675657980969
8,0.00023221969604492188,21.36135251214924,9.27757268924559,-4.293474055827453,1.7109742967344084
9,0.0002465248107910156,21.210789050265287,9.24366864662494,-4.280847996457526,1.6985668904964786
10,0.0002608299255371094,21.065518109886163,9.211034480505496,-4.268611777786767,1.6865561361621664
11,0.0002751350402832031,20.92468357314269,9.179437479472512,-4.2566981732584,1.6748743937744393
12,0.0002894401550292969,20.78762068556465,9.148701235288579,-4.245054923158524,1.663469081447631
13,0.00030350685119628906,20.653802752667843,9.118688652556276,-4.233640570248771,1.6522984823001874
14,0.0003173351287841797,20.522805437760752,9.089291007040723,-4.222421670059468,1.6413289365550594
15,0.00033164024353027344,20.39428205152782,9.060420616673545,-4.211370859768098,1.6305328984794918
16,0.0003464221954345703,20.267945967213016,9.032005768715567,-4.200465483735789,1.6198875538620838
17,0.00036072731018066406,20.14355780427792,9.003987109544974,-4.189686591597042,1.6093738125338943
18,0.0003750324249267578,20.020915891755553,8.976315013250797,-4.179018192606618,1.598975558793339
19,0.00038933753967285156,19.899849041826627,8.948947623437194,-4.168446690505368,1.5886790834657183
20,0.0004038810729980469,19.780210985256197,8.921849369234302,-4.157960448248718,1.5784726465971823
21,0.00041794776916503906,19.661876024777023,8.894989822423902,-4.147549447912661,1.5683461358693747
22,0.0004322528839111328,19.54473559607851,8.868342804555319,-4.137205021527561,1.558290796329634
23,0.000446319580078125,19.428695515354015,8.841885680346362,-4.1269196355668445,1.548299014056017
24,0.00046062469482421875,19.313673753292896,8.815598791994567,-4.116686716578896,1.5383641411693671
25,0.00047516822814941406,19.199598617761815,8.789465001532891,-4.106500508760443,1.5284803529362223
26,0.0004892349243164062,19.086407257363177,8.763469317059727,-4.096355956609743,1.5186425300613209
27,0.0005033016204833984,18.974044419552254,8.737598584820242,-4.086248607477574,1.50884616095871
28,0.0005173683166503906,18.86246141263934,8.711841233528594,-4.076174530056701,1.4990872600207024
29,0.0005311965942382812,18.751615232538168,8.68618706053222,-4.066130245751963,1.4893622988108863
30,0.0005452632904052734,18.641467823727695,8.660627051787456,-4.056112670545679,1.4796681477839864
31,0.0005590915679931641,18.53198545038561,8.635153229382254,-4.046119065480317,1.470002026645642
32,0.0005736351013183594,18.423138158597972,8.609758521674253,-4.036146994266905,1.4603614618539478
33,0.0005879402160644531,18.314899314354374,8.58443665212761,-4.026194286824938,1.4507442500636012
34,0.0006020069122314453,18.20724520499112,8.559182043712909,-4.016259007790271,1.44114842654552
35,0.0006158351898193359,18.10015469405568,8.53398973634047,-4.006339429207982,1.4315722377963132
36,0.0006301403045654297,17.99360892138878,8.508855315271422,-3.9964340067696016,1.422014117695126
37,0.0006442070007324219,17.887591041668756,8.483774848824968,-3.9865413590671883,1.4124726666790723
38,0.0006582736968994141,17.782085995822012,8.458744833997242,-3.976660249427235,1.4029466334994112
39,0.0006723403930664062,17.677080310637052,8.433762148844847,-3.966789569960282,1.3934348991938499
40,0.0006868839263916016,17.572561922676613,8.408824010677606,-3.9569283275211826,1.3839364629696806
41,0.0007011890411376953,17.46852002319974,8.38392793926012,-3.947075631323145,1.3744504297408233
42,0.0007152557373046875,17.36494492131216,8.359071724348283,-3.937230681988173,1.3649759991014871
43,0.0007293224334716797,17.261827922981045,8.334253396990556,-3.927392761849119,1.3555124555518452
44,0.0007431507110595703,17.15916122389675,8.309471204109451,-3.917561226345581,1.3460591598181921
45,0.0007569789886474609,17.05693781445272,8.284723585949443,-3.90773549637837,1.3366155411326077
46,0.0007708072662353516,16.955151395356783,8.260009156036746,-3.8979150515061494,1.3271810903560204
47,0.0007848739624023438,16.853796302590258,8.235326683345788,-3.88809942388368,1.3177553538444269
48,0.0007994174957275391,16.752867440603502,8.210675076408823,-3.87828819285454,1.3083379279714278
49,0.0008134841918945312,16.65236022278223,8.186053369140346,-3.8684809801225275,1.2989284542315946
50,0.0008275508880615234,16.55227051834345,8.16146070817773,-3.858677445435688,1.2895266148588653
51,0.0008413791656494141,16.452594604926116,8.136896341564995,-3.848877282725164,1.280132128902432
52,0.0008556842803955078,16.353329126232982,8.112359608628335,-3.839080216648219,1.2707447487096868
53,0.0008699893951416016,16.254471054158778,8.087849930910682,-3.8292859994909043,1.2613642567718986
54,0.0008840560913085938,16.156017654907817,8.063366804048735,-3.8194944083911597,1.2519904628935798
55,0.0008985996246337891,16.057966458663035,8.038909790489708,-3.809705242847727,1.2426232016510783
56,0.0009124279022216797,15.960315232419854,8.014478512957169,-3.7999183224842787,1.2332623301099077
