experiment_num,timestamp,function,dimension,method,success,iterations,runtime,f_initial,f_final,initial_distance_to_minimum,final_distance_to_minimum,initial_grad_norm,final_grad_norm,relative_improvement_f,relative_improvement_dist,relative_improvement_grad,success_f_15,success_f_30,success_f_45,success_f_60,success_f_75,success_f_90,success_dist_15,success_dist_30,success_dist_45,success_dist_60,success_dist_75,success_dist_90,x_initial,x_final
1,20250116_042536,ackley,2,GradientDescent,True,212,0.01970386505126953,9.363319080870282,8.813151774134408,4.1959818254260774,4.09313950218693,6.5115583473487275,9.560749641376142e-05,0.05875772276733501,0.02450971608503197,0.9999853172633472,False,False,False,False,False,False,False,False,False,False,False,False,"[4.042298331824767, -1.1252056149134084]","[3.9709194699917676, -0.9927686272255843]"
2,20250116_042536,ackley,2,GradientDescent,True,279,0.02259230613708496,8.039163170274279,5.3818641875799464,2.467983561006474,2.1965568597343794,3.3845485804027184,9.740592089740843e-05,0.3305442278519732,0.10997913663630864,0.9999712204098763,True,True,False,False,False,False,False,False,False,False,False,False,"[-2.372335268548056, 0.6804176886304611]","[-1.9646178937267578, 0.9824146628052722]"
3,20250116_042536,ackley,2,GradientDescent,False,227,0.026787996292114258,5.739412156333675,5.38186418758956,2.0617534828862327,2.1965543755838404,4.230969233304195,9.951464770339744e-05,0.062296966833013695,-0.06538167332638668,0.9999764794678911,False,False,False,False,False,False,False,False,False,False,False,False,"[1.854384756124182, 0.9011573671938603]","[1.9646148682873943, 0.9824151587799418]"
4,20250116_042536,ackley,2,GradientDescent,False,259,0.01994466781616211,7.4702642164703015,6.55964537572196,2.550213529557045,2.7922949472746974,2.8709222601310245,9.78578366525876e-05,0.12189914765539696,-0.0949259404798547,0.9999659141461225,False,False,False,False,False,False,False,False,False,False,False,False,"[-1.8917008149773724, -1.7102798229967362]","[-1.9744511093989712, -1.9744502751826842]"
5,20250116_042536,ackley,2,GradientDescent,True,287,0.02245616912841797,9.556777276543375,6.882582646893136,3.295835055924638,2.964619950511745,3.867191014817431,9.902321794037121e-05,0.27982180103892496,0.10049504899145244,0.9999743940194418,True,False,False,False,False,False,False,False,False,False,False,False,"[0.4135129473956951, -3.2697913936821545]","[1.7844908075796533e-06, -2.964619950511208]"
6,20250116_042536,ackley,2,GradientDescent,True,228,0.01723456382751465,6.593020012610101,5.381864187588555,2.4184815819547265,2.196558345951356,8.392878700283974,9.914629125814117e-05,0.18370273754744199,0.09176139180022287,0.9999881868552138,True,False,False,False,False,False,False,False,False,False,False,False,"[1.1421489410047003, -2.131794774084991]","[0.9824171050455262, -1.9646183341510697]"
7,20250116_042536,ackley,2,GradientDescent,False,236,0.027530193328857422,8.702297457216225,7.961711274785074,3.3682099526491016,3.5732930337827318,4.571391119577768,9.879181928230325e-05,0.08510237509946682,-0.060887855572165875,0.9999783891124827,False,False,False,False,False,False,False,False,False,False,False,False,"[-1.821547700392366, -2.8331611779635386]","[-1.9821387022311128, -2.973137950112265]"
8,20250116_042537,ackley,2,GradientDescent,True,389,0.04559636116027832,10.20061762803767,6.559645375721427,3.5427033152367535,2.792298505883357,1.794866637173854,9.778750619337493e-05,0.3569364508192696,0.2118170059925687,0.9999455182328492,True,True,False,False,False,False,True,False,False,False,False,False,"[-2.5690299674678165, 2.4394326811867124]","[-1.9744537894856096, 1.974452627728593]"
9,20250116_042537,ackley,2,GradientDescent,False,262,0.019752025604248047,10.04208428734801,8.813151774138543,3.822634555697435,4.0931361793602745,3.3109431216319893,9.701219173791381e-05,0.12237823125601471,-0.07076313985067473,0.9999706995293564,False,False,False,False,False,False,False,False,False,False,False,False,"[-3.745669829846125, 0.7632119444771726]","[-3.970916596635002, 0.9927664203410174]"
10,20250116_042537,ackley,2,GradientDescent,True,225,0.017629146575927734,6.553740961111906,5.381864187576294,2.293016342017107,2.196557162494339,6.400499017609384,9.547885664973879e-05,0.17881035892160002,0.042066503301897526,0.9999850825917812,True,False,False,False,False,False,False,False,False,False,False,False,"[-1.2271875758997899, 1.9369911198337257]","[-0.9824178389395093, 1.9646166439890016]"
11,20250116_042537,ackley,2,GradientDescent,True,247,0.020696163177490234,7.464874405659788,5.3818641875847995,2.3661147045331217,2.1965569135700447,5.401037119474124,9.995461387404753e-05,0.27904156250715656,0.07166085001637057,0.9999814934406739,True,False,False,False,False,False,False,False,False,False,False,False,"[-0.7310212433125762, 2.2503570243038316]","[-0.9824146539907448, 1.9646179583258945]"
12,20250116_042537,ackley,2,GradientDescent,False,247,0.01907944679260254,10.968258050186106,10.120331273896635,4.727961206227486,4.973609328028764,3.531549228947502,9.991552522588916e-05,0.07730733288820495,-0.051956458838477666,0.9999717077354021,False,False,False,False,False,False,False,False,False,False,False,False,"[-4.727707569398342, -0.048972500913103754]","[-4.973609328028762, -1.3472587904821218e-07]"
13,20250116_042537,ackley,2,GradientDescent,True,345,0.026231765747070312,9.052649007619014,6.559645375721363,2.935133228266239,2.792295340493151,2.130678266636318,9.82994592118869e-05,0.2753894058854436,0.04866487367507364,0.9999538647102422,True,False,False,False,False,False,False,False,False,False,False,False,"[1.6400384901140523, -2.434189971760013]","[1.9744500888029581, -1.9744518518732619]"
14,20250116_042537,ackley,2,GradientDescent,True,253,0.019289731979370117,7.545335350563997,5.381864187590004,2.5545633665757363,2.1965582988966683,5.091662769422108,9.979413796328484e-05,0.28672962333109264,0.14014334988251076,0.999980400481634,True,False,False,False,False,False,False,False,False,False,False,False,"[2.34711580849378, 1.0083855291352357]","[1.9646186271412043, 0.9824164139211207]"
15,20250116_042537,ackley,2,GradientDescent,True,390,0.029947996139526367,7.506446861447534,4.884065258180311,2.2654775061527697,1.9589185798384219,4.112743602811619,9.641988024044656e-05,0.3493505851264398,0.13531757675005376,0.9999765558251251,True,True,False,False,False,False,False,False,False,False,False,False,"[2.2068357462775547, 0.5121174863600745]","[1.9589185798378779, 1.459940660946782e-06]"
1,20250116_042537,ackley,2,NewtonRaphson,False,9,0.0022635459899902344,9.363319080870282,12.256965218418312,4.1959818254260774,4.919308088015381,6.5115583473487275,2.385031531955429e-07,-0.3090406417378097,-0.17238546130162366,0.9999999633723388,False,False,False,False,False,False,False,False,False,False,False,False,"[4.042298331824767, -1.1252056149134084]","[4.669784587375794, -1.5468367633079543]"
2,20250116_042537,ackley,2,NewtonRaphson,False,5,0.0014386177062988281,8.039163170274279,8.647332354890636,2.467983561006474,2.792534691474952,3.3845485804027184,9.19600401383625e-05,-0.0756508073956171,-0.1315045754746121,0.9999728294518593,False,False,False,False,False,False,False,False,False,False,False,False,"[-2.372335268548056, 0.6804176886304611]","[-2.7415910317525993, 0.5309695073211094]"
3,20250116_042537,ackley,2,NewtonRaphson,False,7,0.0016508102416992188,5.739412156333675,6.8825826468012945,2.0617534828862327,2.964619443149388,4.230969233304195,1.8723010246674156e-09,-0.1991790203123999,-0.4379116939815911,0.999999999557477,False,False,False,False,False,False,False,False,False,False,False,False,"[1.854384756124182, 0.9011573671938603]","[2.964619443149388, 3.258193180302504e-13]"
4,20250116_042537,ackley,2,NewtonRaphson,False,5,0.0014195442199707031,7.4702642164703015,7.6492332131928595,2.550213529557045,2.4756001135589094,2.8709222601310245,1.4307773862399929e-06,-0.023957518976098664,0.02925771318101963,0.9999995016314422,False,False,False,False,False,False,False,False,False,False,False,False,"[-1.8917008149773724, -1.7102798229967362]","[-1.9161669380539046, -1.56745021859133]"
5,20250116_042537,ackley,2,NewtonRaphson,False,6,0.00173187255859375,9.556777276543375,10.406148222039059,3.295835055924638,3.74795774305909,3.867191014817431,4.571327819984616e-07,-0.08887629385069189,-0.13718001036541855,0.9999998817920346,False,False,False,False,False,False,False,False,False,False,False,False,"[0.4135129473956951, -3.2697913936821545]","[0.5217905436435195, -3.711458186794078]"
6,20250116_042537,ackley,2,NewtonRaphson,True,8,0.0018417835235595703,6.593020012610101,3.2524692451131796,2.4184815819547265,0.6257806168802591,8.392878700283974,5.482664984836447e-10,0.5066799070998779,0.7412506171022916,0.9999999999346747,True,True,True,False,False,False,True,True,True,True,False,False,"[1.1421489410047003, -2.131794774084991]","[5.259875494649459e-12, 0.6257806168802591]"
7,20250116_042537,ackley,2,NewtonRaphson,False,6,0.0014545917510986328,8.702297457216225,9.316780845982466,3.3682099526491016,3.1223874424417706,4.571391119577768,1.973879114841092e-08,-0.07061162776695147,0.0729831315930859,0.9999999956821041,False,False,False,False,False,False,False,False,False,False,False,False,"[-1.821547700392366, -2.8331611779635386]","[-1.5918387146543636, -2.6861408837299665]"
8,20250116_042537,ackley,2,NewtonRaphson,False,5,0.0013077259063720703,10.20061762803767,10.394739874948156,3.5427033152367535,3.722453496546021,1.794866637173854,1.173127977286401e-08,-0.019030440507535315,-0.050738141276516976,0.9999999934639825,False,False,False,False,False,False,False,False,False,False,False,False,"[-2.5690299674678165, 2.4394326811867124]","[-2.632172109871909, 2.6321721102466227]"
9,20250116_042537,ackley,2,NewtonRaphson,False,6,0.0013988018035888672,10.04208428734801,19.100316744080274,3.822634555697435,21.92934034004048,3.3109431216319893,5.919471035237314e-10,-0.9020271287848782,-4.736708550221197,0.999999999821215,False,False,False,False,False,False,False,False,False,False,False,False,"[-3.745669829846125, 0.7632119444771726]","[19.997837041443074, 8.99902669254926]"
10,20250116_042537,ackley,2,NewtonRaphson,False,8,0.0017490386962890625,6.553740961111906,9.31678084598246,2.293016342017107,3.122387455410001,6.400499017609384,3.5941581887486073e-07,-0.42159735962493367,-0.36169437530624754,0.9999999438456567,False,False,False,False,False,False,False,False,False,False,False,False,"[-1.2271875758997899, 1.9369911198337257]","[-2.6861408782868494, -1.5918387492764754]"
11,20250116_042537,ackley,2,NewtonRaphson,False,6,0.0014536380767822266,7.464874405659788,10.846433418155032,2.3661147045331217,4.001543460055859,5.401037119474124,5.62231860435685e-09,-0.4529961026445912,-0.6911874358371133,0.9999999989590298,False,False,False,False,False,False,False,False,False,False,False,False,"[-0.7310212433125762, 2.2503570243038316]","[-1.5634020866571106, 3.683493447551116]"
12,20250116_042537,ackley,2,NewtonRaphson,False,4,0.001077890396118164,10.968258050186106,11.190030908479029,4.727961206227486,4.573797533498034,3.531549228947502,1.6047438889675268e-05,-0.020219515011242792,0.032606797307556966,0.9999954559775754,False,False,False,False,False,False,False,False,False,False,False,False,"[-4.727707569398342, -0.048972500913103754]","[-4.573797533498034, 5.232975455889653e-08]"
