function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm,computation_error
sphere,2,0,gradient_descent,dimension,3.9793034408077457,2.3545580721619097e-13,788,0.09919881820678711,True,4.852378872431449e-07,2.3545580721619097e-13,7.958606881615491,9.704757744862897e-07,False
sphere,2,1,sgd,dimension,3.9793034408077457,1.173133227203804e-06,1000,0.12919092178344727,False,0.001083112749072692,1.173133227203804e-06,7.958606881615491,0.002166225498145384,False
sphere,2,2,sgd_momentum,dimension,3.9793034408077457,5.781598441552239e-06,1000,0.130753755569458,False,0.0024044954650720885,5.781598441552239e-06,7.958606881615491,0.004808990930144177,False
sphere,2,3,momentum,dimension,3.9793034408077457,2.0684011382323156e-12,247,0.033789634704589844,True,1.4381937067837264e-06,2.0684011382323156e-12,7.958606881615491,2.876387413567453e-06,False
sphere,2,4,rmsprop,dimension,3.9793034408077457,1.3132274935070371e-14,339,0.04613757133483887,True,1.1459613839510637e-07,1.3132274935070371e-14,7.958606881615491,2.2919227679021273e-07,False
sphere,2,5,adam,dimension,3.9793034408077457,7.190016887017567,1000,0.13858485221862793,False,2.6814206844539643,7.190016887017567,7.958606881615491,5.362841368907929,False
sphere,2,6,trust-exact,dimension,3.9793034408077457,2.465190328815662e-32,3,0.0019068717956542969,True,1.5700924586837752e-16,2.465190328815662e-32,7.958606881615491,3.1401849173675503e-16,False
sphere,2,7,trust-krylov,dimension,3.9793034408077457,0.0,3,0.004750490188598633,True,0.0,0.0,7.958606881615491,0.0,False
sphere,2,8,gradient_descent,dimension,2.617185282047247,2.379408731663338e-13,767,0.09547257423400879,True,4.877918338454774e-07,2.379408731663338e-13,5.234370564094494,9.755836676909548e-07,False
sphere,2,9,sgd,dimension,2.617185282047247,1.707415548659217e-07,1000,0.13475418090820312,False,0.00041320885138864305,1.707415548659217e-07,5.234370564094494,0.0008264177027772861,False
sphere,2,10,sgd_momentum,dimension,2.617185282047247,3.24205408655906e-06,1000,0.1278846263885498,False,0.0018005704891947607,3.24205408655906e-06,5.234370564094494,0.0036011409783895214,False
sphere,2,11,momentum,dimension,2.617185282047247,8.947250402721991e-13,247,0.03332710266113281,True,9.458990645265483e-07,8.947250402721991e-13,5.234370564094494,1.8917981290530966e-06,False
sphere,2,12,rmsprop,dimension,2.617185282047247,4.999990000004979e-05,1000,0.12899422645568848,False,0.007071060740797649,4.999990000004979e-05,5.234370564094494,0.014142121481595297,False
sphere,2,13,adam,dimension,2.617185282047247,2.4881116729457644,1000,0.14466261863708496,False,1.5773749309995275,2.4881116729457644,5.234370564094494,3.154749861999055,False
sphere,2,14,trust-exact,dimension,2.617185282047247,6.162975822039155e-32,2,0.0032804012298583984,True,2.482534153247273e-16,6.162975822039155e-32,5.234370564094494,4.965068306494546e-16,False
sphere,2,15,trust-krylov,dimension,2.617185282047247,0.0,2,0.002201557159423828,True,0.0,0.0,5.234370564094494,0.0,False
