function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm,computation_error,mean_best_so_far,std_best_so_far,mean_distance_to_minimum,std_distance_to_minimum,mean_improvement,std_improvement,mean_relative_improvement,std_relative_improvement,mean_step_size,std_step_size,mean_gradient_norm,std_gradient_norm,mean_cosine_similarity,std_cosine_similarity,mean_gradient_angle,std_gradient_angle
ackley,2,0,gradient_descent,final,4.842890934277959,9.353039239137805,42,0.009428024291992188,True,4.443689137272479,9.353039239137805,0.9846503161800283,3.398051924035088e-07,False,10.451311046084355,1.2418359480472678,4.579383239795818,0.15648934777804774,0.6069882412902557,1.173749505274688,14.258167651639075,10.187936153859761,0.01598131169837569,0.020193280203014766,1.5981311777400173,2.019328014047344,0.9998539321640688,0.0002254859735584008,0.7925080926163481,0.5753562063005029
ackley,2,1,sgd,final,4.842890934277959,9.353040123685583,1000,0.24084019660949707,False,4.443745135620143,9.353040123685583,0.9846503161800283,0.009686019799917218,False,9.400189555929938,0.34021849258462505,4.449504358193068,0.0424887983632113,0.026074568137309267,0.27257635159662175,22.881495594820457,2.791128962134571,0.0008360330297337425,0.005273140453739519,0.0760305877824536,0.5285006653248537,0.36027210388594405,0.6704362296442097,62.86989690200039,50.237632045154186
ackley,2,2,sgd_momentum,final,4.842890934277959,5.381867814870002,1000,0.2443675994873047,False,2.1968409326227794,5.381867814870002,0.9846503161800283,0.019378650205285244,False,5.53925665156369,0.8024785059470707,2.255185238967846,0.3342617379853123,0.07515870329162394,1.1205373591345167,54.556321875918286,6.583478112619703,0.0070831730263020976,0.025282089506557703,0.3270941035390725,1.0195360622140883,0.6333003940582209,0.5181822943329567,42.20460416498248,40.445215083510774
ackley,2,3,momentum,final,4.842890934277959,5.381864187490201,351,0.09438824653625488,True,2.196556353307963,5.381864187490201,0.9846503161800283,1.0191507566470963e-06,False,5.835729431281345,1.3084467591310036,2.3652712225561356,0.5487025790857073,0.21399591112033728,1.866624164834519,52.12407971392395,10.734406636973917,0.01949615939360396,0.0397879372965233,0.8867795108912774,1.584091292491796,0.6885004579169661,0.3977161696922053,40.46395045378184,31.155520994086636
ackley,2,4,rmsprop,final,4.842890934277959,9.353039239137807,75,0.01910877227783203,True,4.443689136344356,9.353039239137807,0.9846503161800283,3.3239145826647484e-07,False,10.005198723428778,0.9306803811252319,4.547408145233383,0.12156941238388141,0.34712697580312885,0.3889967733283553,17.918042265360693,7.63523742203091,0.00941876228188875,0.010592513132104171,2.5607109671551744,2.548288826633518,0.9977284045522926,0.018341813500379004,0.9927361725350465,3.7841105525328937
ackley,2,5,adam,final,4.842890934277959,9.3530392391388,1000,0.25290346145629883,False,4.443689309650388,9.3530392391388,0.9846503161800283,1.0160634489579201e-05,False,9.983726636446438,0.9990788532531761,4.538192862890477,0.13173873600548183,0.026447464659521792,0.040286431697467893,18.09419778059616,8.196373752604044,0.000713164615691052,0.0008470507845667568,1.7955919356805636,2.296794637917219,0.9999990839176073,1.956100247065222e-06,0.039275013683185936,0.06687391567230819
ackley,2,6,trust-exact,final,4.842890934277959,8.813151774114928,26,0.01971888542175293,True,4.0931394336071305,8.813151774114928,0.9846503161800283,8.408981441092877e-05,False,8.964886410846567,0.6406607528499056,4.090950239890969,0.0360974063924696,1.077240360169719,4.444966225772858,26.452692463986086,5.255936467761304,0.049659610467177845,0.19246506304519512,0.45870620138273344,1.0967567801903404,0.8428347239193669,0.4909809910072789,14.173717649331943,39.84095423692797
ackley,2,7,trust-krylov,final,4.842890934277959,8.81315177410638,20,0.01879715919494629,True,4.093139342942953,8.81315177410638,0.9846503161800283,7.863061387904865e-05,False,9.007511267145892,0.7209152868318359,4.088370022217303,0.04077097932004064,1.3855414150944398,4.990703823964653,26.10300109353748,5.914339109069408,0.06334419940271105,0.21628524629072066,0.4943563375798489,1.2098019287917585,0.7818368983285724,0.5642656258236408,18.874077943370125,45.96184840356229
ackley,2,8,gradient_descent,final,2.4515917070429216,5.381864187490194,26,0.008124828338623047,True,2.1965563801562746,5.381864187490194,7.006941459776054,3.840650233463889e-07,False,5.501990997700476,0.35100123668600003,2.2222178125081067,0.06206156767500821,0.9045644743657363,2.318986236903168,20.62327136960989,5.063863231510271,0.01052575774696057,0.022602337479026374,1.0525757889206904,2.2602337412783244,0.9998904708570067,7.308051488214733e-05,0.7921633365141301,0.3026915150003477
ackley,2,9,sgd,final,2.4515917070429216,5.381864989756874,1000,0.18792223930358887,False,2.1966999598274755,5.381864989756874,7.006941459776054,0.009085575457723299,False,5.385107674419791,0.06087982480308235,2.197255417231911,0.011013315393400771,0.024399630689186252,0.4079017277258065,22.3095365484055,0.8783077497727004,0.00042391280957891625,0.004075157925191161,0.03532115878684913,0.40819495044928855,0.38717329552643964,0.6482877408390835,61.185833450461864,48.697876284929315
ackley,2,10,sgd_momentum,final,2.4515917070429216,2.5799372425036116,1000,0.2092738151550293,False,0.9522373561071691,2.5799372425036116,7.006941459776054,0.03263354101598625,False,2.662271761083309,0.4681949821825445,0.9756161825927199,0.14867791076749975,0.07829542566704806,1.977680594889666,61.59164505936462,6.754606843658333,0.004956643541270698,0.020647220615744758,0.2583371740818103,0.9454079924976401,0.6172448597590346,0.5672422130104083,42.67405267679076,43.916451684997746
