function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm,computation_error
schwefel,2,0,gradient_descent,dimension,3.650743345778045,831.1702563953595,1000,0.1432054042816162,False,590.0271286145216,831.1702563953595,1.3566301910293193,0.8982240596750612,False
schwefel,2,1,sgd,dimension,3.650743345778045,831.2910088602159,1000,0.15180587768554688,False,590.1169222189703,831.2910088602159,1.3566301910293193,0.9382138244573336,False
schwefel,2,2,sgd_momentum,dimension,3.650743345778045,830.0751969055134,1000,0.15747642517089844,False,587.9309752762217,830.0751969055134,1.3566301910293193,0.0003550628229587667,False
schwefel,2,3,momentum,dimension,3.650743345778045,830.0751967494323,352,0.05618453025817871,True,587.9302962812105,830.0751967494323,1.3566301910293193,9.053135073301569e-07,False
schwefel,2,4,rmsprop,dimension,3.650743345778045,830.0752018228262,1000,0.14347124099731445,False,587.9335830249167,830.0752018228262,1.3566301910293193,0.002024332160869016,False
schwefel,2,5,adam,dimension,3.650743345778045,840.5832229696254,1000,0.15347671508789062,False,597.2606260973199,840.5832229696254,1.3566301910293193,1.0424319223146437,False
schwefel,2,6,trust-exact,dimension,3.650743345778045,830.0751967594626,35,0.017952680587768555,True,587.9305210532705,830.0751967594626,1.3566301910293193,9.00133322830535e-05,False
schwefel,2,7,trust-krylov,dimension,3.650743345778045,834.0204983913467,400,0.2256183624267578,False,591.6467714421951,834.0204983913467,1.3566301910293193,0.00026535419000881313,False
schwefel,2,8,gradient_descent,dimension,2.9488053521300035,830.3922260294363,1000,0.13844656944274902,False,588.858662303825,830.3922260294363,1.3686738257255269,0.5000556138175223,False
schwefel,2,9,sgd,dimension,2.9488053521300035,830.3935425109858,1000,0.14452409744262695,False,588.8603349806973,830.3935425109858,1.3686738257255269,0.5010617363735157,False
schwefel,2,10,sgd_momentum,dimension,2.9488053521300035,830.0751980454954,1000,0.14478707313537598,False,587.929029766456,830.0751980454954,1.3686738257255269,0.0010231493041214202,False
schwefel,2,11,momentum,dimension,2.9488053521300035,830.0751967494315,292,0.049085378646850586,True,587.9302975081578,830.0751967494315,1.3686738257255269,3.460292412002936e-07,False
schwefel,2,12,rmsprop,dimension,2.9488053521300035,830.0752068441982,1000,0.14644145965576172,False,587.9232276274552,830.0752068441982,1.3686738257255269,0.0028554283100877243,False
schwefel,2,13,adam,dimension,2.9488053521300035,835.7675683725896,1000,0.15663456916809082,False,593.8557687839974,835.7675683725896,1.3686738257255269,0.9910465982716973,False
schwefel,2,14,trust-exact,dimension,2.9488053521300035,830.075196761776,61,0.03612351417541504,True,587.9305454219304,830.075196761776,1.3686738257255269,9.985475457915222e-05,False
schwefel,2,15,trust-krylov,dimension,2.9488053521300035,834.0204983906845,400,0.22114896774291992,False,591.6467673300369,834.0204983906845,1.3686738257255269,0.0002696722860512511,False
