function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm,computation_error,mean_best_so_far,std_best_so_far,mean_distance_to_minimum,std_distance_to_minimum,mean_improvement,std_improvement,mean_relative_improvement,std_relative_improvement,mean_step_size,std_step_size,mean_gradient_norm,std_gradient_norm,mean_cosine_similarity,std_cosine_similarity,mean_gradient_angle,std_gradient_angle
ackley,2,0,gradient_descent,function,2.0896924945336,3.5744518772576837,38,0.013336181640625,True,1.3696342457821233,3.5744518772576837,2.4088798977480006,2.957407443582855e-07,False,4.613604008199734,1.487931785023678,1.5506390133060493,0.25624633446459705,1.805380352345431,3.237092206271489,37.971381528372476,20.004827644723555,0.019329720572626316,0.025006563133457185,1.9329720648457283,2.500656307484093,0.9988868210522447,0.0022844813937319026,1.8526659878149216,1.9706373838268363
ackley,2,1,sgd,function,2.0896924945336,3.574452559109908,1000,0.2075941562652588,False,1.3697420112786909,3.574452559109908,2.4088798977480006,0.008388617577807808,False,3.6149575444437736,0.35603450841085077,1.3766794787775734,0.06154380656796567,0.07033936725306258,0.7282323285681878,51.397904562916544,4.7867846147393145,0.0008926799691175078,0.006176183609602091,0.08244599986494922,0.6184836556672771,0.42147264707029186,0.635124679658741,58.80553785166357,47.73039819633989
ackley,2,2,sgd_momentum,function,2.0896924945336,0.06320068758786279,1000,0.21155095100402832,False,0.018966420178954304,0.06320068758786279,2.4088798977480006,3.8335953400476916,False,0.15562366097032157,0.6857014999764248,0.045999667364351245,0.17839532042252554,-1.3706690934041326,19.459812814028226,97.90768330478095,9.219065323306138,0.026762719053390942,0.02891091246539004,4.026009428002131,0.6926676237202424,0.03641053035704273,0.9822378625791726,87.30738727297951,87.11914038929915
ackley,2,3,momentum,function,2.0896924945336,0.06346225465920385,1000,0.1945648193359375,False,0.019035084663090264,0.06346225465920385,2.4088798977480006,3.8368236123506287,False,0.15946829579372315,0.6852217886364796,0.04601758992016098,0.17842322219815188,-1.2880395460968785,18.864267528978807,97.85599326241933,9.212615738203235,0.02675688492291148,0.028902236429940716,4.025422208327937,0.6918559555009256,0.0364398970697438,0.9821247235953103,87.31523791125132,87.48043390678463
ackley,2,4,rmsprop,function,2.0896924945336,3.57445187725768,75,0.019407033920288086,True,1.3696342430434627,3.57445187725768,2.4088798977480006,2.171073411515447e-07,False,4.426424830358221,1.2439242482779582,1.5228298465436843,0.2044785322283878,0.9536211958095117,1.0801438386384077,40.487953342409604,16.724214403079554,0.009614670429215884,0.010341873248510243,3.0292826676988605,3.0155730636512312,0.9998650026413276,0.00012197130522397587,0.7445564513702149,0.5762050742618303
ackley,2,5,adam,function,2.0896924945336,3.574451877260121,1000,0.20697903633117676,False,1.369634492989799,3.574451877260121,2.4088798977480006,1.5729649334227397e-05,False,4.426091669457484,1.3408330285518613,1.5211045524397193,0.2251893214452473,0.0731153461112835,0.11111207367677886,40.49243259775201,18.02712591162627,0.0007264079755042573,0.0008387675549101533,2.2806277752954114,2.7922614463719,0.9999993442351495,7.614925562498435e-07,0.050741126396601534,0.04160333192902703
ackley,2,6,trust-exact,function,2.0896924945336,5.381864187559781,27,0.01891303062438965,True,2.1965569066927593,5.381864187559781,2.4088798977480006,8.563258944229617e-05,False,5.6099434762058795,0.5764705006388285,2.186613360528238,0.054771875197372734,1.100609755897627,2.992123548897627,24.575875407921306,7.750485017943043,0.0309879289603343,0.0772013508580051,0.8026800264064595,1.5191207672974594,0.8983985882697709,0.3025259786835803,10.604327351562503,27.08551018281573
ackley,2,7,trust-krylov,function,2.0896924945336,3.5744518773244107,29,0.023345232009887695,True,1.3696342397675785,3.5744518773244107,2.4088798977480006,8.433285963028356e-05,False,4.102994313562345,1.1916857983434763,1.4428188663372858,0.1843864807305182,2.191332463920914,6.0439752877649555,44.836386387975864,16.021883020764065,0.036569773908191036,0.08421180779420005,0.865283506181349,1.5107344200031578,0.944501133708662,0.23455804952485543,6.70080020835229,20.517896504823447
ackley,2,8,gradient_descent,function,2.9247926069743166,7.180951647715366,29,0.006867408752441406,True,3.1277875689927934,7.180951647715366,3.8864936149504694,3.1888159141661433e-07,False,7.299592418231672,0.26120010613541567,3.0937502055832877,0.06298366931462356,0.42108641868152547,0.7841322953001395,10.518985292645988,3.2018843244302047,0.009671622770120106,0.015688187255119033,0.9671622876413953,1.5688187189589833,0.9975618392724122,0.005973520978624988,2.1191288708296088,3.400456398061371
ackley,2,9,sgd,function,2.9247926069743166,7.180953580508843,1000,0.18348479270935059,False,3.127721210750938,7.180953580508843,3.8864936149504694,0.01436121872337086,False,7.184505291735461,0.049523646682652724,3.1267736281875402,0.012344792679645064,0.012619878226231944,0.15360793266023365,11.929764452440422,0.6070785741549344,0.0004339304038856718,0.003164655476304762,0.03644741775916819,0.3170864382510329,0.4180422668720124,0.6250775579511193,59.04644891046791,46.792899706930186
ackley,2,10,sgd_momentum,function,2.9247926069743166,7.180952191997719,1000,0.18625092506408691,False,3.127686643835167,7.180952191997719,3.8864936149504694,0.007504524040142882,False,7.185345192517269,0.045991487827146106,3.127130891703693,0.014943311524227787,0.01233791814169821,0.2819721844404386,11.919468648249758,0.5637801075571424,0.002213645117099735,0.009877852777217266,0.14624509727961274,0.6084985305410233,0.6210610180611552,0.520869513798295,43.76705866073248,39.9944849523319
