function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,initial_distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm,computation_error,mean_best_so_far,std_best_so_far,mean_distance_to_minimum,std_distance_to_minimum,mean_improvement,std_improvement,mean_relative_improvement,std_relative_improvement,mean_step_size,std_step_size,mean_gradient_norm,std_gradient_norm,mean_cosine_similarity,std_cosine_similarity,mean_gradient_angle,std_gradient_angle
ackley,2,0,gradient_descent,dimension,10.325367953418326,15.133246185455235,30,0.007307291030883789,True,9.987132610607901,10.325367953418326,15.133246185455235,2.2384120917260764,2.2372308663745158e-07,False,15.490605732840942,0.6416247725797556,10.05273713497626,0.11080424441368326,0.3732758652750427,0.6883114742907336,8.911496406869164,3.7729086525433253,0.01373406156385734,0.020556550644002674,1.3734061636026118,2.055655059578605,0.9999907455838947,6.988534240253112e-06,0.23125244675539397,0.08534263263650434
ackley,2,1,sgd,dimension,10.325367953418326,15.133247439007476,1000,0.1844654083251953,False,9.98725560651373,10.325367953418326,15.133247439007476,2.2384120917260764,0.011573601123902884,False,15.144298116430027,0.1286644193321836,9.98917428849059,0.022553329009896317,0.011559965529080547,0.13732176695561488,10.947868844836355,0.7565778656286481,0.000572088640334707,0.004317298663818962,0.04987509295293954,0.43219192729424477,0.36808050773318657,0.6428625603355652,63.00416752851875,48.20036426096009
ackley,2,2,sgd_momentum,dimension,10.325367953418326,15.133247428192504,1000,0.1841135025024414,False,9.987327949779392,10.325367953418326,15.133247428192504,2.2384120917260764,0.011505227232042732,False,15.1407156994976,0.10710720418675662,9.987624824346227,0.02530317576966268,0.01114953961775684,0.3167803600086261,10.968934321761513,0.629816233249796,0.002876147654502687,0.013542093868125604,0.18038128488020969,0.7315980404901932,0.5964164124207397,0.5869962164486087,43.96803665599301,45.4719974819821
ackley,2,3,momentum,dimension,10.325367953418326,15.133246185455267,302,0.0546269416809082,True,9.987132633216854,10.325367953418326,15.133246185455267,2.2384120917260764,1.837972570308433e-06,False,15.157961568846982,0.1936047137197622,9.988705593552151,0.04602979496286662,0.03683045660422838,0.5755780311730159,10.86752444410465,1.1384424834932119,0.00855193452429156,0.02368296811736726,0.5285989087219055,1.2633258015111952,0.5906404662294835,0.6037764633588644,42.933562285571576,45.99150867170747
ackley,2,4,rmsprop,dimension,10.325367953418326,15.13458524204502,1000,0.19392108917236328,False,9.98612203938605,10.325367953418326,15.13458524204502,2.2384120917260764,0.37836111230610703,False,15.156066109303039,0.1636341765794901,9.991639039972355,0.029218887422836754,0.011620641865525541,0.0720098086798955,10.878670204086992,0.9622084854771078,0.013948776506458196,0.0020825646434120136,0.5052228644024168,0.7629153239781977,-0.9193608489976716,0.38021161006066767,172.73028991626026,33.13506137834921
ackley,2,5,adam,dimension,10.325367953418326,15.133246185455267,1000,0.19830751419067383,False,9.987132634268713,10.325367953418326,15.133246185455267,2.2384120917260764,1.8489098821440139e-06,False,15.460669060945076,0.58007593671526,10.05055118507846,0.09944008324149214,0.01165395923940525,0.017512691897572236,9.087531269067735,3.410986630029365,0.00043298749673462074,0.0005207093031014965,1.7334656105301274,2.227411099048092,0.8814497834885792,0.39365838820840215,11.877797652620329,33.0543554186924
ackley,2,6,BFGS,dimension,10.325367953418326,11.525286154616271,8,0.005373954772949219,True,6.060206246378335,10.325367953418326,11.525286154616271,2.2384120917260764,1.0104122979487094e-06,False,12.181214794847996,1.707305109208917,6.509968168438217,1.349416277770309,3.639642345197816,9.704294913106702,28.371514533039644,10.039366455828437,1.056671682769545,2.942127326512351,1.388436120781069,1.5361767400978281,-0.05565803489664928,0.8106256992441276,95.45241033282787,63.69995996227921
ackley,2,7,newton-cg,dimension,10.325367953418326,15.133246205147808,9,0.007242679595947266,True,9.987128793248502,10.325367953418326,15.133246205147808,2.2384120917260764,0.0014521820696735206,False,15.322378001380063,0.561268717030888,10.018132205773554,0.10270829516889213,1.1026078179813645,3.267608600282348,9.900716104660042,3.300395635245681,0.04749887394960706,0.13379675577912534,0.37559659595840006,0.7416080171477294,0.7104137606582602,0.6020817083719023,25.128308300951534,49.771323912788716
ackley,2,8,trust-exact,dimension,10.325367953418326,15.13324618552209,21,0.013785362243652344,True,9.987132382647674,10.325367953418326,15.13324618552209,2.2384120917260764,8.461344357296258e-05,False,15.345222492603101,0.5452549766838628,10.02135722091617,0.10244062578001613,0.5162841649955437,1.558856780043195,9.76638497799264,3.2062309737536507,0.029903736118503613,0.07442857753316669,0.7641842864689429,1.607806632730143,0.7584187415116107,0.5939709740170925,20.90853911572178,49.36305333781289
ackley,2,9,trust-krylov,dimension,10.325367953418326,15.133246185456265,6,0.006894826889038086,True,9.9871325887022,10.325367953418326,15.133246185456265,2.2384120917260764,1.0505501840577932e-05,False,15.798869110319117,0.7952455840738177,10.094763345487769,0.1582996306096646,1.6225523952515566,2.4192852951394683,7.098833283727257,4.676236132506902,0.0933440887147754,0.10679249552157742,2.3668905775532982,2.075330139826358,-0.13031172339383082,0.8593863153739422,98.05632119641415,74.05739548398445
ackley,2,10,gradient_descent,dimension,10.24400391815848,15.427301523826511,26,0.006293773651123047,True,10.428216790894007,10.24400391815848,15.427301523826511,4.530748776622231,4.588423494228723e-07,False,15.60456168908383,0.4011957637558643,10.39892464496921,0.0554991565602991,0.33590589321199454,0.6596996530621286,7.690097399055357,2.3733022826346226,0.01216402196165721,0.020492450599641332,1.216402213159888,2.0492450498766477,0.9993093915468135,0.0013910171840996908,1.2071172317864314,1.7549295017431406
