function,dimension,method,initial_value_mean,initial_value_std,final_value_mean,final_value_std,iterations_mean,iterations_std,runtime_mean,runtime_std,success_rate,best_so_far_mean,best_so_far_std,initial_distance_to_minimum_mean,initial_distance_to_minimum_std,final_distance_to_minimum_mean,final_distance_to_minimum_std,mean_distance_to_minimum,std_distance_to_minimum,improvements_mean,improvements_std,relative_improvements_mean,relative_improvements_std,step_sizes_mean,step_sizes_std,gradient_norm_mean,gradient_norm_std,cosine_similarity_mean,cosine_similarity_std,gradient_angle_mean,gradient_angle_std
ackley,2,gradient_descent,18.12014227815706,0.007860152786152597,16.61497734301637,0.4616468005770731,40.5,16.5,0.010394811630249023,0.002402782440185547,1.0,17.131989860655267,0.02273315655222241,12.448359104954225,1.3660925960123542,12.622749231296705,0.9710058408033042,12.502722562959471,1.1131789052116297,0.21656509391826556,0.020058499680456754,5.453373598723809,0.08444551388195709,0.010965514507222496,0.001888882659737602,1.0965514582783298,0.1888882625588978,0.9991969117577886,0.000770194128454138,0.958399678308735,0.7481229086803636
ackley,2,sgd,18.12014227815706,0.007860152786152597,16.614977992427242,0.461646854870402,1000.0,0.0,0.18370282649993896,0.0031930208206176758,0.0,16.644108162761984,0.4344645178604907,12.448359104954225,1.3660925960123542,12.622604151007799,0.9710090050040678,12.615296433990004,0.9790122550222389,0.008647812337403242,0.0027382281124680714,8.146842463424015,2.3578441757283235,0.0006317996465284276,0.0002553120085698577,0.056016399654790404,0.025970580637727038,0.3662665545507808,0.028378688926071205,62.72386751826055,2.435924518423139
ackley,2,sgd_momentum,18.12014227815706,0.007860152786152597,16.370575486695486,0.7060538362651787,1000.0,0.0,0.18444716930389404,1.895427703857422e-05,0.0,16.397336427820427,0.6812239168309517,12.448359104954225,1.3660925960123542,12.199310168056279,1.394531020150625,12.20359991807699,1.3901789183675666,0.009893258149018574,0.00412826598527888,9.509297663076161,3.7202313261227395,0.00299421991331038,0.0008039641888525973,0.18179803470982042,0.030936518385276737,0.6117208108614378,0.00431646838134786,43.097399366625794,0.4667254422341962
ackley,2,momentum,18.12014227815706,0.007860152786152597,16.37056525476079,0.7060588888332608,295.0,32.0,0.055055975914001465,0.006780028343200684,1.0,16.44352499112287,0.6403932858987096,12.448359104954225,1.3660925960123542,12.199476177784607,1.3942790341482336,12.210530608705422,1.3833063791006248,0.03227076757882842,0.010408693090429601,9.25429810074971,3.494787873966782,0.00896147607475693,0.0017588670245715287,0.543750619858721,0.05136522021163409,0.5970671391919443,0.07852027657916183,42.78020162064688,1.0333425653193267
ackley,2,rmsprop,18.12014227815706,0.007860152786152597,16.370565254760482,0.7060588888329624,52.0,15.0,0.012117862701416016,0.00434565544128418,1.0,16.692598366337158,0.47761167174016883,12.448359104954225,1.3660925960123542,12.199476101351834,1.3942789677238583,12.250316225460047,1.3735457885231472,0.18470439724359772,0.028248458350131053,7.879341824712927,2.595845220415224,0.008063051005041455,0.002058804525888859,1.786138925734996,0.40691099961714083,0.9993990211993105,0.00033785973591254903,1.1861910984677104,0.046944647419707164
ackley,2,adam,18.12014227815706,0.007860152786152597,16.37056525476049,0.7060588888329624,752.5,127.5,0.1527245044708252,0.030352115631103516,1.0,16.70236220674385,0.4838672857714421,12.448359104954225,1.3660925960123542,12.199476111178116,1.3942789661667732,12.248770546135754,1.378284573821027,0.013008965272154276,0.0034666239341235028,7.825472884093285,2.6303448383226207,0.0005704875597061011,0.0002061551270260634,1.5166065860877291,0.028738857472889956,0.9999975834762973,1.4239133586113617e-06,0.08113276001351519,0.012837472084061184
ackley,2,BFGS,18.12014227815706,0.007860152786152597,16.54284496339359,0.5337791801998488,10.0,3.0,0.005984902381896973,0.00016987323760986328,1.0,16.957393415910445,0.25483729401196165,12.448359104954225,1.3660925960123542,12.492483533652514,1.101271533618566,12.43762874209758,1.1753664384646436,0.7972799476611259,0.07176932505087397,6.417478389046674,1.365781576287807,0.09513934542012818,0.060695226388827815,1.5558787515267065,0.25307049951162985,0.0844697369608251,0.10151686206444799,80.8783297470301,8.870143143055301
ackley,2,newton-cg,18.12014227815706,0.007860152786152597,16.370565273360086,0.7060588916162178,12.5,2.5,0.009239912033081055,0.0031538009643554688,1.0,16.562105319851213,0.6213569413434676,12.448359104954225,1.3660925960123542,12.199487575696669,1.3942954374825742,12.233041044979075,1.3838459702299417,0.6968557135684503,0.16626022941097557,8.599840719538088,3.389447719279735,0.040883966384430294,0.01448967260830618,0.5386796773057816,0.4167208962530475,0.8563862138804539,0.00030062153284238224,14.648214132227068,0.11330305456850809
ackley,2,trust-exact,18.12014227815706,0.007860152786152597,16.37056525483024,0.7060588888253116,23.0,2.0,0.015717744827270508,0.0009443759918212891,1.0,16.595281127622748,0.564397228537775,12.448359104954225,1.3660925960123542,12.19947551319337,1.3942780484673971,12.22614601103296,1.3828050482932026,0.43385314746363524,0.21015943875740628,8.41661631939088,3.075023507544013,0.02842912933636731,0.01666394220396335,0.7733584978663314,0.09170458968908546,0.8003208150798171,0.1100186277577016,18.422268100983274,10.223303468331242
ackley,2,trust-krylov,18.12014227815706,0.007860152786152597,16.37056525481013,0.706058888831139,17.5,7.5,0.01456153392791748,0.0039588212966918945,1.0,16.777365186553553,0.3821821705001778,12.448359104954225,1.3660925960123542,12.199475301597182,1.394278444459208,12.24524233924386,1.363865732631547,0.7558215958462742,0.5321573025831281,7.41130890163657,2.0689934558023775,0.049991743277810856,0.03836362167024133,1.1787787775907184,0.5051354981029631,0.6129945116894857,0.29721411138884407,36.07165361023994,27.85562907913378
