function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm
ackley,2,0,gradient_descent,first_order,3.922199159464885,9.001093478292008,28,0.0012969970703125,True,4.213258914981505,9.001093478292008,3.238113275634016,3.70552698331341e-07
ackley,2,0,sgd,first_order,3.922199159464885,9.001094173393746,1000,0.03614664077758789,False,4.213127821034439,9.001094173393746,3.238113275634016,0.008515029122367295
ackley,2,0,sgd_momentum,first_order,3.922199159464885,9.001097100059024,1000,0.0621945858001709,False,4.212912535090876,9.001097100059024,3.238113275634016,0.019373034720089773
ackley,2,0,momentum,first_order,3.922199159464885,9.001093478292077,286,0.011649131774902344,True,4.21325887141896,9.001093478292077,3.238113275634016,2.65704129847911e-06
ackley,2,0,rmsprop,first_order,3.922199159464885,9.001093478292008,42,0.0017800331115722656,True,4.213258919237001,9.001093478292008,3.238113275634016,2.0520619404342185e-07
ackley,2,0,adam,first_order,3.922199159464885,9.001093478292017,645,0.0324094295501709,True,4.213258909091547,9.001093478292017,3.238113275634016,9.350824009496815e-07
ackley,2,0,trust-exact,second_order,3.922199159464885,9.001093478340263,28,0.013894081115722656,True,4.213257554801396,9.001093478340263,3.238113275634016,7.058872439571667e-05
ackley,2,0,trust-krylov,second_order,3.922199159464885,9.001093478337154,28,0.014123201370239258,True,4.213257599615649,9.001093478337154,3.238113275634016,6.827508024185267e-05
rastrigin,2,0,gradient_descent,first_order,2.3328902117156565,22.015867071040226,1000,0.026741981506347656,False,1.8121340395554144,22.015867071040226,86.33363805799239,84.8934919362718
rastrigin,2,0,sgd,first_order,2.3328902117156565,11.917196393065874,1000,0.025551557540893555,False,1.8437321564709634,11.917196393065874,86.33363805799239,70.17068323808722
rastrigin,2,0,sgd_momentum,first_order,2.3328902117156565,7.384995784252645,1000,0.029131650924682617,False,2.2596758751425496,7.384995784252645,86.33363805799239,42.47159894169472
rastrigin,2,0,momentum,first_order,2.3328902117156565,54.37585991578471,1000,0.03470158576965332,False,7.216308016816345,54.37585991578471,86.33363805799239,35.10311510833903
rastrigin,2,0,rmsprop,first_order,2.3328902117156565,3.979831190554087,64,0.002560138702392578,True,1.989912233836047,3.979831190554087,86.33363805799239,5.048829034731233e-08
rastrigin,2,0,adam,first_order,2.3328902117156565,3.979831197364888,1000,0.026708602905273438,False,1.98991785326422,3.979831197364888,86.33363805799239,0.002322698283734956
rastrigin,2,0,trust-exact,second_order,2.3328902117156565,3.979831190554087,6,0.003407716751098633,True,1.9899122337085697,3.979831190554087,86.33363805799239,7.953193659204862e-12
rastrigin,2,0,trust-krylov,second_order,2.3328902117156565,3.979831190554087,6,0.003246307373046875,True,1.9899122337090278,3.979831190554087,86.33363805799239,1.893178947532956e-10
schwefel,2,0,gradient_descent,first_order,2.7432186646387464,830.5886866371591,1000,0.02836465835571289,False,,,1.5140562595539566,0.6302536797374908
schwefel,2,0,sgd,first_order,2.7432186646387464,830.5708161296702,1000,0.018527746200561523,False,,,1.5140562595539566,0.6197752376525466
schwefel,2,0,sgd_momentum,first_order,2.7432186646387464,830.0751989350996,1000,0.02066946029663086,False,,,1.5140562595539566,0.0013286878376120633
schwefel,2,0,momentum,first_order,2.7432186646387464,830.0751967494316,296,0.006400585174560547,True,,,1.5140562595539566,5.334518320016423e-07
schwefel,2,0,rmsprop,first_order,2.7432186646387464,830.0752067644879,1000,0.024559497833251953,False,,,1.5140562595539566,0.002844163446865975
schwefel,2,0,adam,first_order,2.7432186646387464,837.4291571544006,1000,0.030912160873413086,False,,,1.5140562595539566,1.3256840373160292
schwefel,2,0,trust-exact,second_order,2.7432186646387464,834.0204983860142,400,0.1936190128326416,False,,,1.5140562595539566,0.00020697106836213493
schwefel,2,0,trust-krylov,second_order,2.7432186646387464,830.0751967589187,42,0.016534090042114258,True,,,1.5140562595539566,8.753856523005684e-05
sphere,2,0,gradient_descent,first_order,4.813440877328168,2.394836879466141e-13,797,0.01985001564025879,True,4.893707060568849e-07,2.394836879466141e-13,9.626881754656337,9.787414121137698e-07
sphere,2,0,sgd,first_order,4.813440877328168,1.546894474511205e-07,1000,0.01311349868774414,False,0.0003933057938183984,1.546894474511205e-07,9.626881754656337,0.0007866115876367967
sphere,2,0,sgd_momentum,first_order,4.813440877328168,4.213220812031954e-07,1000,0.014986991882324219,False,0.0006490932761962608,4.213220812031954e-07,9.626881754656337,0.0012981865523925217
sphere,2,0,momentum,first_order,4.813440877328168,3.026439083936863e-12,247,0.0038919448852539062,True,1.739666371445072e-06,3.026439083936863e-12,9.626881754656337,3.479332742890144e-06
sphere,2,0,rmsprop,first_order,4.813440877328168,4.9999900001766954e-05,1000,0.014786005020141602,False,0.0070710607409190706,4.9999900001766954e-05,9.626881754656337,0.014142121481838141
sphere,2,0,adam,first_order,4.813440877328168,13.163082060092213,1000,0.02719283103942871,False,3.6280962032576003,13.163082060092213,9.626881754656337,7.256192406515201
sphere,2,0,trust-exact,second_order,4.813440877328168,2.0954117794933126e-31,3,0.0013344287872314453,True,4.577566798522237e-16,2.0954117794933126e-31,9.626881754656337,9.155133597044475e-16
sphere,2,0,trust-krylov,second_order,4.813440877328168,0.0,3,0.002536773681640625,True,0.0,0.0,9.626881754656337,0.0
sum_squares,2,0,gradient_descent,first_order,4.970073483606324,2.3944858709579696e-13,775,0.010198354721069336,True,,,16.761399584649112,9.78669682979517e-07
sum_squares,2,0,sgd,first_order,4.970073483606324,4.92573032465715e-07,1000,0.01994609832763672,False,,,16.761399584649112,0.001728547098520821
sum_squares,2,0,sgd_momentum,first_order,4.970073483606324,1.1798126529452403e-05,1000,0.01770329475402832,False,,,16.761399584649112,0.008182391470604521
sum_squares,2,0,momentum,first_order,4.970073483606324,5.407223471804307e-15,293,0.009090185165405273,True,,,16.761399584649112,1.6366200767640906e-07
sum_squares,2,0,rmsprop,first_order,4.970073483606324,7.499989999896844e-05,1000,0.02094554901123047,False,,,16.761399584649112,0.022360666358398954
sum_squares,2,0,adam,first_order,4.970073483606324,22.12065566046114,1000,0.025851726531982422,False,,,16.761399584649112,12.581498238866235
sum_squares,2,0,trust-exact,second_order,4.970073483606324,1.9721522630525295e-31,3,0.0028328895568847656,True,,,16.761399584649112,8.881784197001252e-16
sum_squares,2,0,trust-krylov,second_order,4.970073483606324,0.0,6,0.0034606456756591797,True,,,16.761399584649112,0.0
rosenbrock,2,0,gradient_descent,first_order,3.6755332155768055,,1000,0.03441429138183594,False,,,750.128433944909,
rosenbrock,2,0,sgd,first_order,3.6755332155768055,,1000,0.03666114807128906,False,,,750.128433944909,
rosenbrock,2,0,sgd_momentum,first_order,3.6755332155768055,,1000,0.020638704299926758,False,,,750.128433944909,
rosenbrock,2,0,momentum,first_order,3.6755332155768055,,1000,0.036110639572143555,False,,,750.128433944909,
rosenbrock,2,0,rmsprop,first_order,3.6755332155768055,0.11219972033123682,1000,0.0221102237701416,False,0.6122128284479362,0.11219972033123682,750.128433944909,4.144807427552092
rosenbrock,2,0,adam,first_order,3.6755332155768055,120.82620873278701,1000,0.05164146423339844,False,3.005798953243227,120.82620873278701,750.128433944909,611.7442615361145
rosenbrock,2,0,trust-exact,second_order,3.6755332155768055,0.1300725592483798,400,0.09964871406555176,False,0.693316368673378,0.1300725592483798,750.128433944909,0.4575738861897677
rosenbrock,2,0,trust-krylov,second_order,3.6755332155768055,0.2090843251179697,400,0.11847877502441406,False,0.8417511082443726,0.2090843251179697,750.128433944909,0.6185118298515575
michalewicz,2,0,gradient_descent,first_order,4.004456198698656,-5.063582490042633e-05,1000,0.03781890869140625,False,,,0.05746325640040922,0.002761555808506291
michalewicz,2,0,sgd,first_order,4.004456198698656,-5.853182997439516e-05,1000,0.04167771339416504,False,,,0.05746325640040922,0.002947172211760823
michalewicz,2,0,sgd_momentum,first_order,4.004456198698656,0.4127491861737251,1000,0.04428434371948242,False,,,0.05746325640040922,0.01150716701063806
michalewicz,2,0,momentum,first_order,4.004456198698656,0.41275244772275943,1000,0.04072403907775879,False,,,0.05746325640040922,0.00020230812772735037
michalewicz,2,0,rmsprop,first_order,4.004456198698656,0.41149713402199817,1000,0.045577287673950195,False,,,0.05746325640040922,0.5012112476735728
michalewicz,2,0,adam,first_order,4.004456198698656,0.41275207748975135,1000,0.05071067810058594,False,,,0.05746325640040922,0.00022117243961304695
michalewicz,2,0,trust-exact,second_order,4.004456198698656,-0.0018407750955943742,30,0.01654672622680664,False,,,0.05746325640040922,0.05746325640040922
michalewicz,2,0,trust-krylov,second_order,4.004456198698656,-0.0018407750955943742,30,0.009149789810180664,False,,,0.05746325640040922,0.05746325640040922
