optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.021544346900318822,0.99,0.9999,1e-06,0.00047390537930226857,0.0004440011490250081,1000.0,0.0,0.011641653854504552,0.005014238151641047
Adam,0.002154434690031882,0.9,0.9999,1e-06,2.8497235096146705,4.0469901050405666,1000.0,0.0,0.7816291078507339,0.5548659056504959
Adam,0.002154434690031882,0.99,0.9995,1e-06,2.2323160902684984,3.5892625349368514,1000.0,0.0,0.63900628370834,0.5501968573693957
Adam,0.00046415888336127773,0.9,0.9999,1e-07,18.196928689312536,13.345562901411315,1000.0,0.0,2.3232738657146856,0.7931492331986405
Adam,0.1,0.9,0.9995,1e-07,4.018715069265037e-14,2.48162480079048e-14,307.8,1.0,1.344793172735831e-07,6.621332339324449e-08
Adam,0.001,0.99,0.9999,1e-06,9.576229488190101,9.327466216774233,1000.0,0.0,1.614795232449552,0.7444857741115712
Adam,0.046415888336127774,0.95,0.9999,1e-08,7.420672793900254e-14,4.692745185025293e-14,622.8,1.0,1.8533241051521974e-07,8.783907101966255e-08
Adam,0.001,0.99,0.9999,1e-06,9.576229488190101,9.327466216774233,1000.0,0.0,1.614795232449552,0.7444857741115712
Adam,0.01,0.95,0.999,1e-08,1.2554441868412721e-05,4.3537251099668924e-05,833.15,0.75,0.0006092068724495869,0.0018920342870489717
Adam,0.1,0.95,0.999,1e-06,7.22856961504123e-14,4.78671336011498e-14,617.65,1.0,1.8600059790985152e-07,8.727902312158484e-08
Adam,0.021544346900318822,0.99,0.999,1e-07,0.0006525024098528266,0.0006290584284331922,1000.0,0.0,0.013325897172144687,0.0063794489489292635
Adam,0.046415888336127774,0.95,0.999,1e-08,6.483178807660581e-14,3.085986704413524e-14,625.1,1.0,1.7607513036087954e-07,6.597740952548808e-08
Adam,0.046415888336127774,0.99,0.9995,1e-08,0.0005833350774392299,0.00046945552422954543,1000.0,0.0,0.012243492439717295,0.005306029638746638
Adam,0.00021544346900318845,0.9,0.9999,1e-08,24.004445440799547,15.462306811660001,1000.0,0.0,2.700509778922107,0.8085928110583166
Adam,0.0001,0.95,0.999,1e-07,27.314048840055797,16.504595101273075,1000.0,0.0,2.894528040279885,0.8128404527912723
Adam,0.004641588833612777,0.95,0.999,1e-07,0.12810557312155121,0.306112371805932,1000.0,0.0,0.10256971420851091,0.167341795542004
Adam,0.00021544346900318845,0.99,0.9995,1e-08,23.927140520750548,15.455382863980974,1000.0,0.0,2.6955313867217607,0.8095306588271237
Adam,0.002154434690031882,0.95,0.9999,1e-07,2.7804985192814273,3.998389240806333,1000.0,0.0,0.7669259079456261,0.5544051784938551
Adam,0.004641588833612777,0.99,0.999,1e-08,0.039907155403122764,0.11484160926776646,1000.0,0.0,0.05565125217341156,0.09490422065741631
Adam,0.01,0.95,0.9999,1e-08,4.8809820325221013e-05,0.00016214681741949565,865.75,0.65,0.0012517466095913826,0.003689259533542583
Adam,0.01,0.9,0.999,1e-07,4.0864892766981395e-05,0.00013432565720594965,919.5,0.45,0.001168832655400328,0.0033627434742457205
Adam,0.00021544346900318845,0.95,0.999,1e-07,23.974135652004836,15.459460172027002,1000.0,0.0,2.698562372668813,0.8089510937444777
Adam,0.0001,0.99,0.9995,1e-07,27.301803245025184,16.504072510490115,1000.0,0.0,2.893787673159453,0.8129959971298993
Adam,0.1,0.9,0.9995,1e-07,4.018715069265037e-14,2.48162480079048e-14,307.8,1.0,1.344793172735831e-07,6.621332339324449e-08
Adam,0.00046415888336127773,0.9,0.9995,1e-06,18.166580048781576,13.34076256057329,1000.0,0.0,2.321009906656015,0.7935119205151135
Adam,0.1,0.99,0.9995,1e-08,0.00030837797623773944,0.00023842022662723308,1000.0,0.0,0.009919158995187114,0.003752716018334963
Adam,0.0001,0.9,0.999,1e-08,27.31631443770808,16.50469922565684,1000.0,0.0,2.89466484770766,0.8128120917242015
Adam,0.002154434690031882,0.95,0.999,1e-06,2.625655464366657,3.878040193886089,1000.0,0.0,0.734464796616803,0.5514532470273185
Adam,0.004641588833612777,0.99,0.9999,1e-07,0.05794392805705263,0.16122846383810324,1000.0,0.0,0.06406141553261988,0.11531236506476836
Adam,0.0001,0.9,0.9999,1e-08,27.322098038598483,16.504988624301678,1000.0,0.0,2.89501360677293,0.8127409472091882
Adam,0.046415888336127774,0.99,0.9995,1e-07,0.000583335009231663,0.0004694555520037366,1000.0,0.0,0.012243490593231715,0.005306030549087686
Adam,0.00021544346900318845,0.99,0.9995,1e-08,23.927140520750548,15.455382863980974,1000.0,0.0,2.6955313867217607,0.8095306588271237
Adam,0.01,0.9,0.999,1e-08,4.0864887422839586e-05,0.00013432563951205727,919.5,0.45,0.0011688325702752251,0.0033627432558784205
Adam,0.1,0.95,0.999,1e-07,7.22873153397291e-14,4.786927063895783e-14,617.65,1.0,1.8600162928644122e-07,8.727848410534155e-08
Adam,0.0001,0.95,0.9999,1e-06,27.31985198895186,16.50488202187604,1000.0,0.0,2.894878078964912,0.8127688541102577
Adam,0.01,0.9,0.999,1e-07,4.0864892766981395e-05,0.00013432565720594965,919.5,0.45,0.001168832655400328,0.0033627434742457205
Adam,0.01,0.95,0.999,1e-06,1.2554464890976605e-05,4.353733147729382e-05,833.15,0.75,0.0006092074623344549,0.0018920360168271694
Adam,0.01,0.9,0.999,1e-06,4.0864946208428606e-05,0.00013432583414497637,919.5,0.45,0.0011688335066516666,0.0033627456579191153
