optimizer,lr,momentum,noise_scale,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
SGD+Momentum,0.1,0.95,0.01,2970.046337160956,2306.5303453509555,1000.0,0.0,48.929473611978224,23.600310547848974
SGD+Momentum,0.001,0.8,0.01,11.839968417397095,4.612332994253279,1000.0,0.0,3.3629978768528117,0.6858177265610375
SGD+Momentum,0.004641588833612777,0.95,0.01,10.049058836808886,4.93380662174004,1000.0,0.0,3.0345830757256613,0.8885845690584732
SGD+Momentum,0.004641588833612777,0.9,0.01,10.944515569587418,5.292928798897694,1000.0,0.0,3.17290353522836,0.9067257377792713
SGD+Momentum,0.004641588833612777,0.99,0.1,26.523565516448304,49.148746740070074,1000.0,0.0,4.041440425652829,2.9541019397845605
SGD+Momentum,0.00046415888336127773,0.99,0.01,11.04457783346562,5.023146801918012,1000.0,0.0,3.2225158384884622,0.777481495514088
SGD+Momentum,0.01,0.99,0.1,756.8732414186051,890.4292748368619,1000.0,0.0,22.34261218649171,15.433530644531102
SGD+Momentum,0.0001,0.95,0.1,11.839981098756358,4.6123285270340775,1000.0,0.0,3.3629281630244514,0.6858411218173177
SGD+Momentum,0.00021544346900318845,0.99,0.001,10.945191284620673,5.207849635583029,1000.0,0.0,3.1840582034274396,0.8655481151267579
SGD+Momentum,0.01,0.99,0.01,631.2672481893238,509.0440404470167,1000.0,0.0,21.64070819977696,12.11746189192688
SGD+Momentum,0.004641588833612777,0.99,0.01,13.717372059918748,7.464663382963414,1000.0,0.0,3.146772356711386,1.1370707518849417
SGD+Momentum,0.0001,0.95,0.001,11.839968088881962,4.612333028975394,1000.0,0.0,3.3630002996163397,0.685833882285175
SGD+Momentum,0.1,0.99,0.001,7562.128553744464,6114.224904907541,1000.0,0.0,78.77286672464557,36.56576613324001
SGD+Momentum,0.004641588833612777,0.95,0.1,9.800960766399077,4.540526607031637,1000.0,0.0,3.0221216022473234,0.7848125453967432
SGD+Momentum,0.1,0.95,0.01,2309.1855304961923,1865.2064660186381,1000.0,0.0,43.35301284859371,20.226084994268824
SGD+Momentum,0.0001,0.95,0.01,11.839968254476302,4.6123330089529775,1000.0,0.0,3.363000904197878,0.6858375068719157
SGD+Momentum,0.004641588833612777,0.8,0.01,11.839970309685938,4.612332760929779,1000.0,0.0,3.363017274831538,0.6858245636145087
SGD+Momentum,0.00046415888336127773,0.9,0.001,11.839968089940689,4.612333029545127,1000.0,0.0,3.3630008440377117,0.6858349065313822
SGD+Momentum,0.021544346900318822,0.8,0.1,83.59668080816581,60.9876191154965,1000.0,0.0,7.052255950044075,3.5013704501686402
SGD+Momentum,0.00021544346900318845,0.9,0.001,11.83996808878561,4.612333028902727,1000.0,0.0,3.363001002480373,0.6858337548942525
SGD+Momentum,0.0001,0.9,0.1,11.83997205236392,4.612332200108814,1000.0,0.0,3.362993737344901,0.6858086089710583
SGD+Momentum,0.021544346900318822,0.99,0.001,2295.28611705063,1752.9951632726295,1000.0,0.0,42.45204184134584,21.721584156112947
SGD+Momentum,0.00021544346900318845,0.95,0.01,11.839968281879028,4.61233302816729,1000.0,0.0,3.363012451942596,0.6858360086436124
SGD+Momentum,0.01,0.9,0.01,54.482604134463124,66.4309716808929,1000.0,0.0,6.162067155964378,3.767711218163185
SGD+Momentum,0.002154434690031882,0.95,0.01,11.093756942139374,5.075970328381443,1000.0,0.0,3.2137638113093367,0.8423201556406309
SGD+Momentum,0.00046415888336127773,0.8,0.01,11.839968207302807,4.612333043630761,1000.0,0.0,3.3629994464516835,0.6858385109690811
SGD+Momentum,0.0001,0.8,0.1,11.839971590328558,4.612332449647745,1000.0,0.0,3.36299225728458,0.6858138050126322
SGD+Momentum,0.0001,0.8,0.001,11.839968087986424,4.612333028774283,1000.0,0.0,3.363000612631738,0.6858335812937517
SGD+Momentum,0.01,0.95,0.1,116.11349611948249,159.60907038400205,1000.0,0.0,8.49124338302899,6.312662281635205
SGD+Momentum,0.021544346900318822,0.95,0.1,312.68329282940715,274.3565985808028,1000.0,0.0,15.471466688788325,7.2344019314402335
SGD+Momentum,0.0001,0.9,0.001,11.839968088375574,4.612333028920775,1000.0,0.0,3.3630004068445487,0.6858340701528128
SGD+Momentum,0.1,0.8,0.001,489.5107983076109,311.7981205087953,1000.0,0.0,20.599615632355658,6.584408884523013
SGD+Momentum,0.00021544346900318845,0.9,0.1,11.839978857686992,4.6123292260648885,1000.0,0.0,3.36305559357064,0.6858234425226545
SGD+Momentum,0.1,0.95,0.1,1801.032513140103,1986.8350714663343,1000.0,0.0,37.47210660052441,19.298590802735156
SGD+Momentum,0.021544346900318822,0.99,0.1,2195.1025656767147,2200.885979791081,1000.0,0.0,41.07906285239498,22.05222524799134
SGD+Momentum,0.002154434690031882,0.99,0.01,10.44773814326091,5.116614547272483,1000.0,0.0,3.1080292688854927,0.8571330482064268
SGD+Momentum,0.046415888336127774,0.9,0.001,574.3200503375795,468.3829295664272,1000.0,0.0,21.74939809960845,9.046646425763122
SGD+Momentum,0.004641588833612777,0.95,0.1,10.198831996355048,5.731810013405922,1000.0,0.0,3.0448967230409996,0.9363515982242491
SGD+Momentum,0.001,0.8,0.1,11.839992378790264,4.612327595641533,1000.0,0.0,3.362990674976934,0.685935760014792
SGD+Momentum,0.004641588833612777,0.99,0.1,17.90587254018913,10.167719639549109,1000.0,0.0,3.6856057130164546,1.32298690920568
SGD+Momentum,0.002154434690031882,0.8,0.001,11.839968095562085,4.612333031134376,1000.0,0.0,3.363000318404475,0.6858329129969721
SGD+Momentum,0.002154434690031882,0.99,0.1,10.449118913505291,5.116064731378125,1000.0,0.0,3.1080480912463955,0.8561864619208441
SGD+Momentum,0.00046415888336127773,0.9,0.01,11.839968368109158,4.612333118524264,1000.0,0.0,3.3630020218901358,0.6858238531871158
SGD+Momentum,0.0001,0.95,0.1,11.839976185909372,4.612329443142311,1000.0,0.0,3.363015949346797,0.6858909218869281
SGD+Momentum,0.0001,0.8,0.1,11.839970601940845,4.612332828610213,1000.0,0.0,3.3630086422240986,0.6858278198854573
SGD+Momentum,0.00046415888336127773,0.8,0.1,11.839979186566413,4.612329828450846,1000.0,0.0,3.362966570212804,0.6857949996181794
SGD+Momentum,0.0001,0.8,0.001,11.839968087890703,4.612333028670556,1000.0,0.0,3.3630004801963316,0.6858336995698447
SGD+Momentum,0.0001,0.99,0.01,11.04444057707352,5.178477405204914,1000.0,0.0,3.164428183302737,0.9882581323586141
SGD+Momentum,0.01,0.8,0.1,31.730971477659047,34.56914762278955,1000.0,0.0,4.347717649345271,2.7482215802987984
SGD+Momentum,0.046415888336127774,0.95,0.1,845.1136210563238,690.0611276650666,1000.0,0.0,26.471507159837984,11.246458489145045
SGD+Momentum,0.00021544346900318845,0.99,0.01,10.945196432192489,5.207829327597733,1000.0,0.0,3.184081670397928,0.8655275076726221
