optimizer,lr,momentum,noise_scale,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
SGD+Momentum,0.001,0.99,0.001,0.00041653472631298727,0.00019679250445016596,1000.0,0.0,0.01981768675864718,0.004877911217839825
SGD+Momentum,0.001,0.95,0.1,8.843269700879588e-05,6.412218580576945e-05,1000.0,0.0,0.008650758338710502,0.003687421480387967
SGD+Momentum,0.01,0.8,0.1,0.00028003164348117945,0.00022199533128907428,1000.0,0.0,0.015453751715294936,0.006419750883266288
SGD+Momentum,0.01,0.95,0.001,6.715051240457226e-08,5.8863895818013036e-08,1000.0,0.0,0.00023337246875001876,0.0001126401492989678
SGD+Momentum,0.002154434690031882,0.9,0.1,0.00012580452322435428,0.00011232655355450194,1000.0,0.0,0.009870205704809452,0.005327622600100463
SGD+Momentum,0.0001,0.99,0.001,0.0005365387571971803,0.0002550274436906211,1000.0,0.0,0.02248349492233278,0.005570566692412589
SGD+Momentum,0.046415888336127774,0.99,0.01,0.0002935906805515701,0.00022421177705954617,1000.0,0.0,0.015620197305973665,0.007042735027957756
SGD+Momentum,0.1,0.8,0.001,1.9808080932598916e-07,1.941422228121149e-07,1000.0,0.0,0.00040406957278081156,0.000186570602396845
SGD+Momentum,0.0001,0.9,0.001,0.2147761448348416,0.10213717974663523,1000.0,0.0,0.44980809876921046,0.11157427623099218
SGD+Momentum,0.004641588833612777,0.99,0.1,0.002492559623546434,0.002240297183562116,1000.0,0.0,0.045347482742884936,0.020884574030374362
SGD+Momentum,0.01,0.99,0.1,0.004597866658358242,0.004206771468093371,1000.0,0.0,0.06156907193001868,0.02840978775060508
SGD+Momentum,0.021544346900318822,0.8,0.1,0.000416038509651643,0.000321804328870814,1000.0,0.0,0.01821995586535575,0.009169063088240361
SGD+Momentum,0.00046415888336127773,0.8,0.01,0.0009607184900560382,0.0004650986939563279,1000.0,0.0,0.030047020081995352,0.007608881274419137
SGD+Momentum,0.01,0.9,0.001,5.369125018999863e-08,4.9630631089450816e-08,1000.0,0.0,0.0002060131057499639,0.00010606531218665612
SGD+Momentum,0.001,0.95,0.01,1.0215617572074693e-06,9.137415603790468e-07,1000.0,0.0,0.0008991077058653945,0.0004617002170899823
SGD+Momentum,0.021544346900318822,0.95,0.1,0.0020375883024964427,0.0018087246583263288,1000.0,0.0,0.04071750243433877,0.01948520715840761
SGD+Momentum,0.001,0.9,0.1,6.951762096360315e-05,6.023600571175611e-05,1000.0,0.0,0.007407156690379139,0.003827747474399883
SGD+Momentum,0.021544346900318822,0.95,0.001,1.446197481900235e-07,1.3996329549973073e-07,1000.0,0.0,0.0003309447045345642,0.00018733753155882442
SGD+Momentum,0.1,0.99,0.01,0.001075774821418918,0.000953635209858522,1000.0,0.0,0.029759180352837988,0.01379006911317631
SGD+Momentum,0.046415888336127774,0.8,0.001,1.1678929409384001e-07,8.799769466414789e-08,1000.0,0.0,0.00030736646900810763,0.00014938255528450454
SGD+Momentum,0.001,0.8,0.001,1.2724818940586801e-08,6.123548268858382e-09,1000.0,0.0,0.00010958469541572891,2.6758428041062644e-05
SGD+Momentum,0.002154434690031882,0.95,0.1,0.0002461474032140245,0.0002502350405711776,1000.0,0.0,0.01390161641672756,0.007272720551223959
SGD+Momentum,0.00021544346900318845,0.9,0.1,0.0016402706725328262,0.000777539084871893,1000.0,0.0,0.03932373981835071,0.00969093180408801
SGD+Momentum,0.021544346900318822,0.9,0.01,1.16838520822984e-05,9.984664791933148e-06,1000.0,0.0,0.0030457074836206213,0.001551617867426043
SGD+Momentum,0.021544346900318822,0.9,0.1,0.0014999181428619317,0.0012390134472304562,1000.0,0.0,0.034850246261131396,0.016893148859831574
SGD+Momentum,0.004641588833612777,0.8,0.01,1.0289096593436334e-06,9.609402039764293e-07,1000.0,0.0,0.0009127637381674663,0.00044246131766538207
SGD+Momentum,0.001,0.95,0.01,1.22843849272387e-06,1.1201852048331581e-06,1000.0,0.0,0.0009928841696219336,0.0004925642277287638
SGD+Momentum,0.01,0.95,0.1,0.0008361590330244999,0.0005371401658414575,1000.0,0.0,0.027363714278399388,0.0093480572267515
SGD+Momentum,0.0001,0.95,0.1,0.002409228495202578,0.0011927724235651356,1000.0,0.0,0.0475337989991013,0.012237910275680825
SGD+Momentum,0.00021544346900318845,0.9,0.01,0.0016436509684517168,0.0007864362876834402,1000.0,0.0,0.039336578986129536,0.009812467687575257
SGD+Momentum,0.1,0.99,0.001,0.0005502874008471799,0.00025251521416915797,1000.0,0.0,0.02281341617672194,0.005462183006350263
SGD+Momentum,0.001,0.99,0.001,0.0004152894158584414,0.0001957572027397944,1000.0,0.0,0.019787087098516423,0.004874484589591626
SGD+Momentum,0.00046415888336127773,0.99,0.1,0.0002760094607640758,0.0002542082837129274,1000.0,0.0,0.014829181006432856,0.0074903171790336644
SGD+Momentum,0.002154434690031882,0.8,0.1,5.836187177959031e-05,5.122462373646059e-05,1000.0,0.0,0.006800232708607476,0.0034811933138473275
