optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.046415888336127774,0.99,0.999,1e-06,830.0754256969783,0.00020946145082334464,1000.0,0.0,587.9340692965218,0.023424047457191052
Adam,0.046415888336127774,0.9,0.9999,1e-06,830.0751967494336,7.444925597662805e-12,365.5,1.0,587.9302971837637,2.131193287316432e-06
Adam,0.021544346900318822,0.9,0.9995,1e-08,830.0751967534158,1.1590242872755787e-08,916.9,0.7,587.9303351012983,9.220736564266105e-05
Adam,0.004641588833612777,0.95,0.9999,1e-07,832.3787212197561,1.739327244785039,1000.0,0.0,590.5872527131171,1.4939686953193387
Adam,0.004641588833612777,0.99,0.9999,1e-06,832.0960539819977,1.582594293331482,1000.0,0.0,590.2916105008046,1.3436583436032887
Adam,0.021544346900318822,0.95,0.999,1e-06,830.0751967494327,2.6971588285623344e-12,760.45,1.0,587.9302969129305,1.2959305112465545e-06
Adam,0.046415888336127774,0.99,0.9995,1e-06,830.0754009441278,0.00018241650294754667,1000.0,0.0,587.9342147673294,0.02315165330811522
Adam,0.0001,0.9,0.9995,1e-08,837.6900499409387,2.150540440852752,1000.0,0.0,595.1039251625181,1.653350021328077
Adam,0.004641588833612777,0.95,0.9995,1e-07,832.3525742237089,1.7209204983984883,1000.0,0.0,590.5626992130259,1.4725508620748569
Adam,0.0001,0.9,0.9995,1e-08,837.6900499409387,2.150540440852752,1000.0,0.0,595.1039251625181,1.653350021328077
Adam,0.046415888336127774,0.9,0.9999,1e-07,830.0751967494336,7.469579960507072e-12,365.5,1.0,587.9302971833145,2.1331188037289435e-06
Adam,0.021544346900318822,0.95,0.9995,1e-06,830.0751967494358,8.381542353626006e-12,756.3,1.0,587.9302962876405,2.5614256428394484e-06
Adam,0.002154434690031882,0.9,0.999,1e-07,834.4784210978271,1.7569684987962362,1000.0,0.0,592.5987372739635,1.5208527394858384
Adam,0.001,0.99,0.9995,1e-08,836.1360585644777,1.9511989492230999,1000.0,0.0,593.8908906381846,1.6146712358587056
Adam,0.004641588833612777,0.9,0.999,1e-06,832.3596878117338,1.7131693205210439,1000.0,0.0,590.5732103545035,1.4647494058203914
Adam,0.046415888336127774,0.95,0.9999,1e-06,830.0751967494325,3.1781520984837615e-12,572.2,1.0,587.9302985711621,1.3681571039466339e-06
Adam,0.001,0.9,0.9999,1e-07,836.1442367001688,1.95554269639191,1000.0,0.0,593.907934125987,1.60837499455355
Adam,0.021544346900318822,0.95,0.9999,1e-07,830.0751967494341,3.82679082475857e-12,769.45,0.95,587.9302966622414,2.1978426397719843e-06
Adam,0.004641588833612777,0.95,0.999,1e-06,832.3181812657665,1.694953147656827,1000.0,0.0,590.5293595181978,1.443848014371587
Adam,0.046415888336127774,0.99,0.999,1e-07,830.0754256980374,0.00020946110664577674,1000.0,0.0,587.9340693086946,0.02342409920439073
Adam,0.00021544346900318845,0.95,0.999,1e-08,837.4857340843821,2.1350626241447324,1000.0,0.0,594.9428573728206,1.6544538292033162
Adam,0.00046415888336127773,0.95,0.999,1e-07,837.0551044945951,2.098964333150934,1000.0,0.0,594.6068019644613,1.6540313247302052
Adam,0.001,0.95,0.9999,1e-08,836.1427367174043,1.9551261520392982,1000.0,0.0,593.9057013030593,1.6090264413407027
Adam,0.01,0.95,0.9995,1e-06,830.1442123335837,0.15945975194561243,1000.0,0.0,588.1625843329527,0.34813499023400607
Adam,0.1,0.99,0.9995,1e-06,830.0753210543551,7.471687656640949e-05,1000.0,0.0,587.926169408325,0.01596887554106976
Adam,0.002154434690031882,0.95,0.9999,1e-07,834.4758155466754,1.771962077116909,1000.0,0.0,592.6003787093624,1.528701153067596
Adam,0.00021544346900318845,0.9,0.9995,1e-08,837.4857663043433,2.135534132502369,1000.0,0.0,594.9429498075411,1.6548888931568484
Adam,0.002154434690031882,0.9,0.9999,1e-07,834.4835485067828,1.7759695754847582,1000.0,0.0,592.6089793442494,1.5298803866080324
Adam,0.01,0.9,0.9995,1e-06,830.1620070068199,0.19584535679955123,1000.0,0.0,588.20028343306,0.38629840923297576
Adam,0.004641588833612777,0.9,0.999,1e-08,832.35968372312,1.7131693442713123,1000.0,0.0,590.5732061468385,1.464749366353474
Adam,0.004641588833612777,0.9,0.999,1e-07,832.3596840947123,1.7131693420865655,1000.0,0.0,590.5732065292689,1.4647493699141507
Adam,0.021544346900318822,0.95,0.9999,1e-06,830.0751967494341,3.821383124711356e-12,769.45,0.95,587.9302966640233,2.195390179357126e-06
Adam,0.00046415888336127773,0.95,0.9995,1e-06,837.0556042261144,2.1000938678099756,1000.0,0.0,594.6078463494462,1.6549334582021011
Adam,0.01,0.99,0.999,1e-07,830.0903035778465,0.03176676235939974,1000.0,0.0,587.9240069426412,0.19434298165871344
Adam,0.021544346900318822,0.95,0.9995,1e-06,830.0751967494358,8.381542353626006e-12,756.3,1.0,587.9302962876405,2.5614256428394484e-06
Adam,0.021544346900318822,0.9,0.9995,1e-08,830.0751967534158,1.1590242872755787e-08,916.9,0.7,587.9303351012983,9.220736564266105e-05
Adam,0.001,0.9,0.9995,1e-06,836.1442802139552,1.955667534685288,1000.0,0.0,593.9066825577514,1.6092806599720062
Adam,0.0001,0.99,0.999,1e-06,837.6900500088726,2.1500675664234725,1000.0,0.0,595.104025707327,1.6526935524439306
Adam,0.00046415888336127773,0.95,0.9995,1e-08,837.0556032846562,2.1000939020634997,1000.0,0.0,594.6078454911029,1.6549335673382886
Adam,0.004641588833612777,0.9,0.9995,1e-06,832.3929535135661,1.7356435787459341,1000.0,0.0,590.6052506574734,1.4907158151766182
Adam,0.1,0.95,0.9995,1e-08,830.0751967494323,6.111658902098321e-13,547.7,1.0,587.9302984241212,1.4221637422452185e-06
Adam,0.004641588833612777,0.99,0.9995,1e-08,832.070929502954,1.5544862547684593,1000.0,0.0,590.2689102905252,1.3180575189945085
Adam,0.004641588833612777,0.99,0.999,1e-07,832.0399533980253,1.5192753240061614,1000.0,0.0,590.2397314024909,1.2868898417915164
Adam,0.00046415888336127773,0.9,0.9995,1e-08,837.0560450612813,2.1009222615145857,1000.0,0.0,594.6087747357377,1.6557124173368276
Adam,0.0001,0.99,0.9995,1e-07,837.6900515423486,2.150137770411778,1000.0,0.0,595.1040113926399,1.6527927733183423
Adam,0.021544346900318822,0.95,0.999,1e-07,830.0751967494327,2.7216068583597708e-12,760.45,1.0,587.9302969121261,1.298180223515733e-06
Adam,0.001,0.9,0.9999,1e-07,836.1442367001688,1.95554269639191,1000.0,0.0,593.907934125987,1.60837499455355
Adam,0.002154434690031882,0.9,0.999,1e-06,834.478424153468,1.756968049530156,1000.0,0.0,592.5987397785822,1.520852421463056
