iteration,timestamp,function_value,gradient_norm,x1,x2
0,9.560585021972656e-05,11.487872472052215,2.6035213512500888,-0.8016938113824517,-4.475205123208525
1,0.0020017623901367188,11.487872472052215,2.6035213512500888,-0.8016938113824517,-4.475205123208525
2,0.0023131370544433594,10.55088323584139,6.509500394800383,-0.8054994063356483,-4.225234089992569
3,0.0027742385864257812,8.936085990026836,3.5167326006580684,-0.9397840547449643,-4.014360589519924
4,0.003290891647338867,8.81430282024346,0.3462699883893569,-0.9969334608063912,-3.9657516875469527
5,0.003723621368408203,8.813152518891311,0.008791861131238029,-0.9926523281132735,-3.9707937298812714
6,0.0041828155517578125,8.813152106319984,0.005876094990555253,-0.9926880618456279,-3.970837501193117
7,0.004598855972290039,8.81315192241335,0.003926630131875196,-0.9927143222124656,-3.970864312912201
8,0.005112648010253906,8.81315184029655,0.002623924454081385,-0.9927318682003857,-3.970882229472452
9,0.0055501461029052734,8.813151803629498,0.0017534066668621927,-0.992743592484354,-3.9708942016094353
10,0.005983114242553711,8.81315178725658,0.0011716933896184039,-0.9927514268240103,-3.9709022016734576
11,0.006405830383300781,8.813151779945516,0.0007829703237955182,-0.9927566619067262,-3.970907547543725
12,0.006811857223510742,8.81315177668086,0.0005232107083248714,-0.9927601601343368,-3.9709111198235996
13,0.007283210754394531,8.813151775223066,0.0003496293968810807,-0.9927624977593033,-3.970913506942083
14,0.007686614990234375,8.8131517745721,0.00023363572833073898,-0.9927640598388136,-3.9709151020988624
15,0.008111953735351562,8.813151774281419,0.0001561243253844793,-0.9927651036752,-3.970916168040444
16,0.009332895278930664,8.813151774151619,0.000104328243136596,-0.9927658012043646,-3.9709168803419934
17,0.010006427764892578,8.813151774093654,6.971612002453917e-05,-0.9927662673190437,-3.9709173563285227
