optimizer,lr,momentum,noise_scale,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
SGD+Momentum,0.0001,0.9,0.001,0.15436032586921775,0.12221755109530376,1000.0,0.0,0.35228282339088024,0.16926485122954288
SGD+Momentum,0.001,0.95,0.1,0.00012833969001334414,0.00014409751528687454,1000.0,0.0,0.008282236805405525,0.005130100177072458
SGD+Momentum,0.01,0.8,0.1,0.0002759022208663484,0.00021187958590247814,1000.0,0.0,0.013309030528675112,0.0072519374331405035
SGD+Momentum,0.021544346900318822,0.99,0.01,0.0006707528208891104,0.0005558293688634429,1000.0,0.0,0.018307077035281966,0.008515894407657232
SGD+Momentum,0.01,0.9,0.1,0.0003129829748399647,0.0002449128631328117,1000.0,0.0,0.013476181785170063,0.005776288445974054
SGD+Momentum,0.0001,0.9,0.1,0.15459206430316938,0.12241633057705407,1000.0,0.0,0.35254414826485686,0.16943541724268765
SGD+Momentum,0.00021544346900318845,0.99,0.1,0.0006569489807936595,0.000635175768707627,1000.0,0.0,0.01828661310449163,0.00791896068175096
SGD+Momentum,0.00021544346900318845,0.9,0.001,0.0011544934438449785,0.0009436448785716321,1000.0,0.0,0.03040412017660819,0.015166979515005148
SGD+Momentum,0.002154434690031882,0.8,0.001,5.483922048215964e-09,4.6318070400061025e-09,1000.0,0.0,5.544942071411992e-05,2.955557028009385e-05
SGD+Momentum,0.021544346900318822,0.99,0.01,0.0006826548316832407,0.0006429041040838603,1000.0,0.0,0.018523945481821198,0.007920265490654948
SGD+Momentum,0.00046415888336127773,0.9,0.1,2.489127637101599e-05,2.830704183047018e-05,1000.0,0.0,0.003612163042029297,0.0021369797308077327
SGD+Momentum,0.046415888336127774,0.9,0.1,0.0023690014115368132,0.0022789590557041636,1000.0,0.0,0.03816226456627822,0.019191626920603
SGD+Momentum,0.001,0.95,0.01,1.1298276150867799e-06,9.704945581543277e-07,1000.0,0.0,0.0008525290670950879,0.0003928667508225314
SGD+Momentum,0.046415888336127774,0.8,0.01,9.701786201841908e-06,8.993654791724104e-06,1000.0,0.0,0.0024066541778277957,0.0012172014279929204
SGD+Momentum,0.004641588833612777,0.95,0.01,5.0873930625649305e-06,4.6153830971189945e-06,1000.0,0.0,0.0017631033106328485,0.0006716607279462378
SGD+Momentum,0.021544346900318822,0.95,0.1,0.0023821866455816716,0.0024688654333034224,1000.0,0.0,0.035108662855691336,0.015557431742265296
SGD+Momentum,0.001,0.99,0.01,0.0007725872456385701,0.00036227000245215126,1000.0,0.0,0.022570627535913497,0.005632761508066058
SGD+Momentum,0.046415888336127774,0.95,0.1,0.00587349927924574,0.00612935075015208,1000.0,0.0,0.05682947919458915,0.032344658283126534
SGD+Momentum,0.00046415888336127773,0.9,0.001,1.6797919627716003e-08,1.3820518185914163e-08,1000.0,0.0,0.0001126911093219428,5.7865694128859835e-05
SGD+Momentum,0.0001,0.99,0.01,0.0008779475829206578,0.00039234288591339056,1000.0,0.0,0.02437095036330415,0.005765819757418848
SGD+Momentum,0.002154434690031882,0.9,0.1,8.703906008777771e-05,6.989783731656118e-05,1000.0,0.0,0.007515796971931029,0.003577175883954134
SGD+Momentum,0.00021544346900318845,0.8,0.01,0.11475243427305595,0.09142973218834767,1000.0,0.0,0.30363371568708414,0.14692491007109096
SGD+Momentum,0.046415888336127774,0.99,0.001,0.00018636500009227314,9.325844426962686e-05,1000.0,0.0,0.010927470808051457,0.0027258501368085182
SGD+Momentum,0.01,0.9,0.1,0.0005058012878369417,0.0004312369640546055,1000.0,0.0,0.01840169330127437,0.009712732183005461
SGD+Momentum,0.001,0.95,0.1,0.00010427696906362819,0.00012215454413669756,1000.0,0.0,0.0072280876808296975,0.004261013037586129
SGD+Momentum,0.004641588833612777,0.95,0.001,4.939540811728583e-08,5.6195310002121607e-08,1000.0,0.0,0.00016703384731062756,0.00010531081673176573
SGD+Momentum,0.01,0.8,0.01,2.682038112555466e-06,1.982764492394439e-06,1000.0,0.0,0.0013033506745291433,0.0006179949972405469
SGD+Momentum,0.046415888336127774,0.8,0.1,0.00104534052889208,0.001105915544531456,1000.0,0.0,0.025560738736678044,0.014194566929603837
SGD+Momentum,0.1,0.99,0.001,0.0003982566143806494,0.00034321010788934675,1000.0,0.0,0.017750773142178423,0.008823695036571703
SGD+Momentum,0.01,0.99,0.1,0.005267330387766585,0.0042492041660380335,1000.0,0.0,0.055872721851610005,0.02219750108096892
SGD+Momentum,0.021544346900318822,0.95,0.01,1.3120834065608603e-05,1.2184968112931879e-05,1000.0,0.0,0.002859487743191106,0.0014773080254562602
SGD+Momentum,0.021544346900318822,0.95,0.01,2.2130316308871812e-05,1.9980033841285756e-05,1000.0,0.0,0.0037107065398141103,0.0021463215821242864
SGD+Momentum,0.0001,0.95,0.01,0.0016533173615885521,0.0013460794490958946,1000.0,0.0,0.03639686581197211,0.018125434824708974
