optimizer,lr,momentum,noise_scale,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
SGD+Momentum,0.01,0.99,0.001,4.542165279981911,2.9074960988846144,1000.0,0.0,1.9313651700598187,1.4072423954414146
SGD+Momentum,0.021544346900318822,0.9,0.01,4.2472509487375225,3.3820376132704757,1000.0,0.0,1.8201809392463602,1.6180897777620757
SGD+Momentum,0.00046415888336127773,0.8,0.01,6.9956479886075815,1.599722853449887,1000.0,0.0,3.0811677994450557,0.8928574789245595
SGD+Momentum,0.002154434690031882,0.99,0.1,4.803016071483084,2.9287304966287078,1000.0,0.0,2.0610662055344933,1.3992089133570749
SGD+Momentum,0.004641588833612777,0.9,0.1,6.31415269310781,2.7256045881802162,1000.0,0.0,2.7947009982118702,1.3228251668754378
SGD+Momentum,0.046415888336127774,0.8,0.001,5.46400604274457,2.893285326465301,1000.0,0.0,2.3675883637660604,1.4422834305933525
SGD+Momentum,0.00021544346900318845,0.8,0.001,6.995647884834307,1.5997228738039713,1000.0,0.0,3.081186693358647,0.8928545939412297
SGD+Momentum,0.001,0.95,0.1,6.3590451224392055,2.6765435432305718,1000.0,0.0,2.8147155540018622,1.2999356622536615
SGD+Momentum,0.00046415888336127773,0.9,0.01,6.995648120923261,1.5997228671183656,1000.0,0.0,3.0811832415877425,0.8928606848351327
SGD+Momentum,0.046415888336127774,0.99,0.001,20.114264326631442,3.4744787993764086,1000.0,0.0,370.7016697719365,284.93367605729804
SGD+Momentum,0.021544346900318822,0.95,0.1,4.384527412937953,3.1197047001779454,1000.0,0.0,1.8449499021326452,1.5251213676865512
SGD+Momentum,0.001,0.8,0.1,6.995682037793901,1.5997208766583966,1000.0,0.0,3.0814226645135183,0.8928998740970872
SGD+Momentum,0.01,0.99,0.1,4.158044507051175,3.1323239512379635,1000.0,0.0,1.7632084658384906,1.5059415225401291
SGD+Momentum,0.01,0.9,0.1,5.237440117432609,3.135581904371889,1000.0,0.0,2.2852406459657524,1.4736707044342754
