optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.004641588833612777,0.9,0.9999,1e-08,16.118293810072082,7.659209013950218,389.8,1.0,3.8791866515065507,0.9943899672303613
Adam,0.00021544346900318845,0.95,0.9999,1e-06,25.585511464900627,9.405776799040204,1000.0,0.0,3.8511164466410848,0.9663534750271024
Adam,0.001,0.95,0.999,1e-07,16.11829381022799,7.659209014029764,992.4,0.05,3.879186886399264,0.9943900817432779
Adam,0.1,0.9,0.9999,1e-08,16.118293810072082,7.659209013950218,354.35,1.0,3.879186651561819,0.9943899667836932
Adam,0.01,0.99,0.9999,1e-06,16.118861391338367,7.659263788566826,1000.0,0.0,3.8794010170838353,0.9944351486215359
Adam,0.001,0.99,0.9995,1e-08,16.122158467441864,7.65913204081659,1000.0,0.0,3.8796133162735855,0.9943966766372904
Adam,0.002154434690031882,0.99,0.9995,1e-07,16.11955316671507,7.659473189739705,1000.0,0.0,3.879744027388034,0.9948366184624807
Adam,0.001,0.9,0.9999,1e-07,16.118294013314113,7.659209056619007,996.85,0.05,3.879192605383043,0.9943907721197078
Adam,0.021544346900318822,0.99,0.9999,1e-07,16.118748584804987,7.659246269944509,1000.0,0.0,3.8792721297901664,0.9945930332571371
Adam,0.046415888336127774,0.95,0.9999,1e-08,16.118293810072082,7.659209013950218,716.85,1.0,3.879186650703192,0.9943899669011402
Adam,0.0001,0.99,0.9995,1e-08,44.74050125103431,15.040478021411824,1000.0,0.0,3.824196321710447,0.9478079084045055
Adam,0.046415888336127774,0.95,0.9995,1e-06,16.118293810072082,7.659209013950218,718.9,1.0,3.8791866509646447,0.9943899671920485
Adam,0.002154434690031882,0.9,0.9999,1e-07,16.118293810072082,7.659209013950218,551.1,1.0,3.879186651479092,0.9943899673803197
Adam,0.002154434690031882,0.9,0.9995,1e-07,16.118293810072085,7.659209013950222,547.7,1.0,3.879186651468042,0.994389967851708
Adam,0.1,0.95,0.999,1e-06,16.118293810072082,7.659209013950217,716.15,1.0,3.8791866507669406,0.9943899670590657
Adam,0.0001,0.99,0.9995,1e-07,44.74050129627815,15.040478035218996,1000.0,0.0,3.8241963216217933,0.9478079083781855
Adam,0.00021544346900318845,0.95,0.9995,1e-07,25.780427569191318,9.479613736554725,1000.0,0.0,3.8507619679786984,0.9659525102235328
Adam,0.01,0.95,0.999,1e-07,16.118293810072082,7.659209013950217,735.6,1.0,3.879186650760399,0.9943899673008589
Adam,0.004641588833612777,0.95,0.9999,1e-06,16.118293810072082,7.659209013950218,748.1,1.0,3.8791866505931187,0.994389966906921
Adam,0.046415888336127774,0.9,0.9995,1e-06,16.118293810072082,7.659209013950218,352.85,1.0,3.879186650698144,0.9943899670095165
Adam,0.004641588833612777,0.99,0.9999,1e-06,16.11919702283044,7.659217784382794,1000.0,0.0,3.879300977915676,0.9943985815332225
Adam,0.00046415888336127773,0.95,0.9999,1e-06,16.275321942490702,7.668403917811605,1000.0,0.0,3.877702656653999,0.991460035114002
Adam,0.004641588833612777,0.9,0.9999,1e-06,16.118293810072082,7.659209013950218,389.8,1.0,3.87918665150655,0.9943899672303619
Adam,0.021544346900318822,0.95,0.9999,1e-08,16.118293810072082,7.659209013950218,719.95,1.0,3.8791866508962314,0.9943899669358103
Adam,0.001,0.9,0.9999,1e-07,16.118294013314113,7.659209056619007,996.85,0.05,3.879192605383043,0.9943907721197078
Adam,0.1,0.95,0.9995,1e-07,16.118293810072082,7.659209013950217,716.65,1.0,3.879186650977764,0.9943899673139032
Adam,0.001,0.9,0.9999,1e-06,16.118294013314244,7.659209056619028,996.85,0.05,3.879192605384541,0.9943907721196605
Adam,0.001,0.95,0.9995,1e-07,16.118293811650613,7.659209014696623,993.45,0.05,3.879187412723918,0.9943902679071837
Adam,0.004641588833612777,0.95,0.9999,1e-07,16.118293810072082,7.659209013950217,748.1,1.0,3.8791866505931183,0.9943899669069206
Adam,0.021544346900318822,0.9,0.999,1e-06,16.118293810072082,7.659209013950218,356.7,1.0,3.8791866508718966,0.9943899669269199
Adam,0.01,0.99,0.9995,1e-07,16.118977547168488,7.6592562276195775,1000.0,0.0,3.879100438876775,0.9943362972103463
Adam,0.00021544346900318845,0.9,0.999,1e-08,25.895177090986653,9.52110091454158,1000.0,0.0,3.85054270068325,0.96574064614774
Adam,0.1,0.9,0.9999,1e-08,16.118293810072082,7.659209013950218,354.35,1.0,3.879186651561819,0.9943899667836932
Adam,0.046415888336127774,0.95,0.9995,1e-07,16.118293810072082,7.659209013950217,718.9,1.0,3.879186650964646,0.9943899671920537
Adam,0.01,0.9,0.9999,1e-07,16.118293810072082,7.659209013950218,365.3,1.0,3.8791866508713597,0.9943899670102706
Adam,0.001,0.99,0.9995,1e-08,16.122158467441864,7.65913204081659,1000.0,0.0,3.8796133162735855,0.9943966766372904
Adam,0.01,0.95,0.9995,1e-08,16.118293810072082,7.659209013950217,731.65,1.0,3.8791866509589807,0.9943899672070827
Adam,0.004641588833612777,0.95,0.9999,1e-06,16.118293810072082,7.659209013950218,748.1,1.0,3.8791866505931187,0.994389966906921
Adam,0.001,0.95,0.9999,1e-06,16.118293815917205,7.659209016518971,992.65,0.1,3.8791880740306803,0.9943904714983404
Adam,0.0001,0.99,0.999,1e-08,44.84086987518971,15.104209105822767,1000.0,0.0,3.8239547012264845,0.947646248204596
Adam,0.1,0.99,0.9999,1e-08,16.118635567603935,7.659247492352243,1000.0,0.0,3.8790745411008816,0.9942192151546918
Adam,0.002154434690031882,0.9,0.9995,1e-08,16.118293810072085,7.659209013950221,547.7,1.0,3.879186651468042,0.9943899678517092
Adam,0.004641588833612777,0.99,0.9995,1e-08,16.11929445081334,7.659196668539398,1000.0,0.0,3.8795494600252027,0.9945614819879477
Adam,0.00021544346900318845,0.99,0.9995,1e-06,26.616633822931085,9.87478038725644,1000.0,0.0,3.849442484613982,0.9639710157072742
Adam,0.0001,0.99,0.999,1e-07,44.840869919518745,15.104209119229301,1000.0,0.0,3.8239547011371444,0.9476462481801091
Adam,0.004641588833612777,0.95,0.999,1e-07,16.118293810072082,7.659209013950219,750.65,1.0,3.879186651220766,0.9943899670224857
