function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm,computation_error
ackley,2,0,gradient_descent,function,4.127543712986794,8.813151774046894,24,0.006153583526611328,True,4.093138035718496,8.813151774046894,6.075056606168835,4.3309492996004134e-07,False
ackley,2,1,sgd,function,4.127543712986794,8.813152015715207,1000,0.19652938842773438,False,4.093188518657821,8.813152015715207,6.075056606168835,0.00504639340795091,False
ackley,2,2,sgd_momentum,function,4.127543712986794,8.813157477042449,1000,0.2088310718536377,False,4.092898045147778,8.813157477042449,6.075056606168835,0.02451557850310741,False
ackley,2,3,momentum,function,4.127543712986794,8.813151774048752,251,0.06068158149719238,True,4.093138115100685,8.813151774048752,6.075056606168835,1.4089166115712194e-05,False
ackley,2,4,rmsprop,function,4.127543712986794,8.813151774046892,44,0.009979486465454102,True,4.093138036664809,8.813151774046892,6.075056606168835,8.732420755543508e-08,False
ackley,2,5,adam,function,4.127543712986794,8.813151774046903,762,0.15255427360534668,True,4.093138032661505,8.813151774046903,6.075056606168835,9.331731834258545e-07,False
ackley,2,6,trust-exact,function,4.127543712986794,8.813151774125984,25,0.01751255989074707,True,4.0931389442126695,8.813151774125984,6.075056606168835,9.129732557569117e-05,False
ackley,2,7,trust-krylov,function,4.127543712986794,8.81315177411816,25,0.020123958587646484,True,4.093138898170382,8.81315177411816,6.075056606168835,8.66634734392907e-05,False
ackley,2,8,gradient_descent,function,2.417328389155882,5.381864187490191,26,0.0074388980865478516,True,2.196556378721363,5.381864187490191,7.205871993146288,3.1413229759216903e-07,False
ackley,2,9,sgd,function,2.417328389155882,5.381865645178134,1000,0.20014166831970215,False,2.1963470586587346,5.381865645178134,7.205871993146288,0.012193876415053779,False
ackley,2,10,sgd_momentum,function,2.417328389155882,5.3818669114862026,1000,0.1989150047302246,False,2.196886917402245,5.3818669114862026,7.205871993146288,0.01648518622710119,False
ackley,2,11,momentum,function,2.417328389155882,5.381864187490574,274,0.056639671325683594,True,2.1965562483808037,5.381864187490574,7.205871993146288,6.189672859367868e-06,False
ackley,2,12,rmsprop,function,2.417328389155882,5.383174927480944,1000,0.2094130516052246,False,2.198757865607424,5.383174927480944,7.205871993146288,0.37241098472899703,False
ackley,2,13,adam,function,2.417328389155882,5.38186418749066,1000,0.21632146835327148,False,2.1965564962606137,5.38186418749066,7.205871993146288,6.860099859540303e-06,False
ackley,2,14,trust-exact,function,2.417328389155882,5.381864187533907,27,0.020183801651000977,True,2.1965567959113925,5.381864187533907,7.205871993146288,6.787098682427476e-05,False
ackley,2,15,trust-krylov,function,2.417328389155882,5.381864187540977,26,0.023252010345458984,True,2.1965568288558224,5.381864187540977,7.205871993146288,7.31529817185891e-05,False
