iteration,timestamp,function_value,gradient_norm,x1,x2
0,8.082389831542969e-05,22.995762384531805,11.531948432304715,-3.5700232643121272,-2.2639231741384234
1,0.00013065338134765625,21.688915319034415,11.518505383084731,-3.4987864583593864,-2.173408456530364
2,0.00015473365783691406,19.35998246441256,11.17245569526465,-3.36453147113772,-2.0049825989439922
3,0.0001742839813232422,16.377957394266893,10.469719561977232,-3.1763099828066865,-1.773275540826845
4,0.00021910667419433594,13.12678963066722,9.517322310441612,-2.9433450441314015,-1.4939058842267037
5,0.0002543926239013672,9.95178338028762,8.393804491923571,-2.6746819963022377,-1.182763627895341
6,0.00028634071350097656,7.124846164530527,7.143908797743884,-2.3793589498135663,-0.8554230393415325
7,0.0003151893615722656,4.823803225326347,5.84389792262708,-2.0662197356607126,-0.5265639701368305
8,0.00034546852111816406,3.1257562194227906,4.649267970785627,-1.7429951825184287,-0.2094325823986563
9,0.0003743171691894531,2.022856985247919,3.5837466790622257,-1.4172554546651348,0.08439182860277594
10,0.00040531158447265625,1.4389830279293245,2.8623930869281375,-1.095685437607076,0.3452944031874214
11,0.0004658699035644531,1.2564208255684592,2.5918400912527866,-0.7844152643019897,0.5661773214720363
12,0.0016579627990722656,1.3408928846195203,2.7491492458084483,-0.4887008630768968,0.7423154151192795
13,0.0017902851104736328,1.5631701323641418,3.124761726446673,-0.2127102544070949,0.8711843892179804
14,0.0018186569213867188,1.8157389040255159,3.5009686500914863,0.03984450688864938,0.9524051971971583
15,0.001842498779296875,2.0208739522519417,3.8125247207765045,0.2664934077929423,0.9873842250752354
16,0.0018649101257324219,2.134516520431067,3.989483533019312,0.46511518398591867,0.9793325242369959
17,0.0018856525421142578,2.143434977226401,4.024717129462828,0.6346786998800993,0.9329035119306037
18,0.0019099712371826172,2.0588566204788745,3.9186831880490702,0.7748050212880249,0.8539712522871417
19,0.0019304752349853516,1.9055806859997926,3.741230325177478,0.8853354416308323,0.748919836094669
20,0.001949310302734375,1.7142733271065782,3.503505604942811,0.9668248646645927,0.6243088210865158
21,0.0019683837890625,1.516613729051651,3.1610452104336852,1.020612029584191,0.48732166693042167
22,0.0019872188568115234,1.3372616622930977,2.8128613828720384,1.0487221192321112,0.3445602842220844
23,0.0020067691802978516,1.1911250750978548,2.496590443429649,1.0532505466316864,0.20222309600773675
24,0.0020275115966796875,1.0822823247653066,2.2686251244803723,1.0361272282038743,0.0660404865967208
25,0.002046823501586914,1.0066859924454938,2.1047132365421426,0.9998391093037511,-0.05919352984987239
26,0.0020656585693359375,0.9547566568911159,2.0107247355332323,0.9471974029670767,-0.16966693358392088
27,0.0020842552185058594,0.9137368987396581,2.0035883013444757,0.8809492287452328,-0.26235982458527973
28,0.0021028518676757812,0.8706166137374991,2.0576449248903357,0.8036843383512783,-0.3351925551279198
29,0.0021219253540039062,0.8155726588942873,2.098208913941578,0.7180452407177109,-0.3872878071776414
30,0.002140522003173828,0.7431349160674735,2.115320199957002,0.626702596221385,-0.41855631159788353
31,0.0021588802337646484,0.6528613685975494,2.0850125443598837,0.5318838344646704,-0.4300935684433729
32,0.0021784305572509766,0.5481945984109559,2.0305840478102484,0.43582934071017715,-0.42323006993069867
33,0.0021975040435791016,0.4360598055798545,1.9150052415063812,0.3406249062947686,-0.40002154866427797
34,0.0022165775299072266,0.32537517132624894,1.7336002257788319,0.24821312848553267,-0.36315658755809
35,0.0022351741790771484,0.22474614613424193,1.526931908739864,0.160148607952331,-0.31551431782501765
36,0.002254009246826172,0.14112190897881627,1.3163963734757418,0.07747930603085235,-0.2599219749422832
37,0.0022728443145751953,0.07965166055261798,1.0463599595930517,0.0013929110541310158,-0.19956167010652778
38,0.002291440963745117,0.04216894879411291,0.7990687540596696,-0.06704913997276354,-0.1372467879824983
39,0.0023102760314941406,0.02769742308071911,0.5565726422480058,-0.1273664524798712,-0.0757469796870206
40,0.002329587936401367,0.03270262261180973,0.39681829395630136,-0.17917687306416716,-0.017295530792043635
41,0.0023484230041503906,0.05201158642003683,0.3656396758048031,-0.222251275916063,0.03616598383646477
42,0.002366781234741211,0.07957217961452068,0.45995179807981923,-0.256701247216757,0.08269416331241908
43,0.0023949146270751953,0.10915407459102898,0.6250392132910949,-0.2824325987448093,0.12121448295744722
44,0.002451658248901367,0.13559689517130075,0.7422124551668015,-0.3000707432567878,0.15092124471495008
45,0.002476215362548828,0.15508973846018947,0.8382251792712911,-0.3100836457110865,0.17166518447651355
46,0.0024967193603515625,0.1651655674576745,0.9311753454137744,-0.3128811798812181,0.18339974745594845
47,0.002514362335205078,0.1651331135337793,0.9737892734945005,-0.30909934829870506,0.1865351259348961
48,0.0025320053100585938,0.15598670774134843,0.9577106808581101,-0.29955995932072227,0.18200348693516236
49,0.002548694610595703,0.139494745359312,0.9383740807786881,-0.2850311318182972,0.17066341033404392
50,0.0025649070739746094,0.11824524292489966,0.8711752861763913,-0.26641102489926466,0.15373745271895042
51,0.0025811195373535156,0.09474797812094163,0.8113927326593192,-0.24438516955586892,0.1323326622986382
52,0.002598285675048828,0.07151733150332619,0.715584338865271,-0.21969685568246317,0.10782073804831134
53,0.002614736557006836,0.05062062162228516,0.6003838773523787,-0.19307999789166116,0.08167232100424622
54,0.002631664276123047,0.03334970520463937,0.5008620829421051,-0.16524704812592778,0.05496871060115327
55,0.0026590824127197266,0.020413029692866833,0.3896335051935116,-0.13695869947152858,0.02876929206579777
56,0.0026755332946777344,0.011839387770642458,0.3067220610902171,-0.1086595622862662,0.004030340829228506
57,0.002691984176635742,0.007268206125349364,0.20832368052579794,-0.08112771054880857,-0.018527016846460985
58,0.0027081966400146484,0.0059152897308669995,0.16095738154165706,-0.05493296439896764,-0.03806349401466419
59,0.002724170684814453,0.006761780361509417,0.19703505401167956,-0.030137029601335387,-0.05409962942718578
60,0.002740144729614258,0.008888973974689005,0.21899124463124112,-0.007056200857430597,-0.06648001204929418
61,0.002755880355834961,0.01147231745145302,0.2537580896193758,0.013932328328957754,-0.07509396673098026
62,0.0027718544006347656,0.013826530409445897,0.29660722448741494,0.03258357775394746,-0.07989005216608122
63,0.002788066864013672,0.015507478243519708,0.32356999907251566,0.048717973857676664,-0.08103714354147251
64,0.002804279327392578,0.016313235851037427,0.33837309394197146,0.0624689869798876,-0.07877455654189384
65,0.002820253372192383,0.016231753531345018,0.3445181431378865,0.07367269859242122,-0.07349859527043791
66,0.0028362274169921875,0.015388418480260615,0.3430571513635482,0.08221514031718963,-0.0656851930913103
67,0.002851724624633789,0.014068333805468763,0.3081103737802704,0.08809848390553555,-0.05615599228495057
68,0.0028676986694335938,0.012500220610372873,0.28928691709013765,0.09168139712984742,-0.04524788409799997
69,0.002883434295654297,0.010899990257313941,0.2675399239384567,0.09298698587392631,-0.03356643200726112
70,0.002899646759033203,0.009461405168404512,0.22834340178732795,0.09225851656704799,-0.021791871067582094
71,0.0029153823852539062,0.008253801310217447,0.21494325593962743,0.08969828222607418,-0.010198516458509872
72,0.002931356430053711,0.007338607000527923,0.17548679111912063,0.08566250684106305,0.0005205392553632639
73,0.0029468536376953125,0.0066316396623720235,0.18567682197538404,0.08017520933348259,0.010088990799487075
74,0.002962827682495117,0.0061005821472810565,0.1618684081985822,0.0736473238199394,0.0183936652334716
75,0.002978086471557617,0.005665055595134015,0.15985567522136734,0.06636946824009551,0.025101287622958393
76,0.0029954910278320312,0.005217292835684206,0.1797134608283081,0.058347575442535375,0.03010692009872356
77,0.0030121803283691406,0.0047045913893596185,0.18471652445002343,0.04973376219814573,0.03340018178826209
78,0.00302886962890625,0.004138252048645126,0.16335080076556097,0.04104658355381509,0.03502449162518139
79,0.0030448436737060547,0.0035176684769206946,0.16062212228715547,0.03230711279981875,0.035170434596834894
80,0.0030608177185058594,0.002890779845082853,0.13751588209779578,0.02377331383323146,0.03409992224675548
81,0.003076791763305664,0.002261163369716839,0.14569270204971077,0.015621226582581901,0.031757996235377284
82,0.003092527389526367,0.0016769544179264706,0.12794550144936787,0.008080855393559818,0.02838709384592623
83,0.003108501434326172,0.0011660909610907027,0.12398745934325332,0.0010664956336781843,0.024134555601399085
84,0.0031244754791259766,0.0007756222102472961,0.10360540305943859,-0.0055059105127046315,0.019304237354443515
85,0.003139972686767578,0.000517733899455609,0.098252638862832,-0.011230232340385365,0.013993137265041238
86,0.003155946731567383,0.00040862764670096784,0.06214271476855907,-0.01605626801674368,0.008684005529577401
87,0.003171682357788086,0.00043262769273569356,0.0403850530252681,-0.020178370061687427,0.0035679878355517206
88,0.003187894821166992,0.0005393030083512783,0.07245704743941667,-0.023168687364038505,-0.0011213684003753754
