iteration,timestamp,function_value,gradient_norm,x1,x2
0,0.0001010894775390625,37142.0951621076,32751.14975748177,4.218714585302058,-1.4720437766250396
1,0.00015807151794433594,37105.730393739854,32751.14975748177,4.217714585302058,-1.4710437766250422
2,0.00019931793212890625,37069.391803576196,32727.461953843842,4.216714604312885,-1.4700437894226648
3,0.0002338886260986328,37033.079821575186,32703.785508456764,4.215714654967411,-1.4690438235223149
4,0.00026726722717285156,36996.794874125284,32680.120710192492,4.214714749832312,-1.468043887384065
5,0.0002994537353515625,36960.537383083116,32656.467845849973,4.213714901380296,-1.4670439894049898
6,0.0003306865692138672,36924.30776484212,32632.82719951812,4.212715121963093,-1.4660441379009994
7,0.000362396240234375,36888.10642943799,32609.19905195805,4.211715423785379,-1.465044341089312
8,0.000392913818359375,36851.93377969807,32585.583680008585,4.21071581887984,-1.4640446070716842
9,0.0004229545593261719,36815.79021043937,32561.981356019878,4.209716319083536,-1.4630449438185182
10,0.0004525184631347656,36779.6761077211,32538.392347318444,4.208716936015717,-1.4620453591539453
11,0.0004832744598388672,36743.59184815551,32514.81691570728,4.207717681057226,-1.461045860741974
12,0.0005128383636474609,36707.537798280966,32491.255317003815,4.206718565331595,-1.4600464560737767
13,0.0005428791046142578,36671.51431399945,32467.70780061831,4.205719599687918,-1.4590471524561708
14,0.0005729198455810547,36635.5217400807,32444.174609174224,4.204720794685568,-1.4580479570013392
15,0.00060272216796875,36599.560409734244,32420.655978172083,4.203722160580798,-1.4570488766178167
16,0.0006325244903564453,36563.63064424896,32397.152135697703,4.2027237073152435,-1.4560499180027542
17,0.0006618499755859375,36527.732752700584,32373.663302174697,4.201725444506321,-1.4550510876354588
18,0.0006918907165527344,36491.86703172544,32350.189690161602,4.200727381439508,-1.454052391772196
19,0.0007212162017822266,36456.03376535877,32326.731504192438,4.199729527062453,-1.4530538364422254
20,0.0007510185241699219,36420.23322493557,32303.288940659873,4.1987318899808646,-1.4520554274450312
21,0.0007808208465576172,36384.46566905096,32279.862187739593,4.197734478456111,-1.4510571703486992
22,0.0008108615875244141,36348.731343576655,32256.451425353927,4.196737300404432,-1.4500590704893834
23,0.0008425712585449219,36313.03048173049,32233.056825172684,4.195740363397682,-1.4490611329717986
24,0.0009033679962158203,36277.36330419461,32209.67855064904,4.194743674665496,-1.4480633626706685
25,0.0009372234344482422,36241.73001927858,32186.316757087818,4.193747241098759,-1.4470657642330558
26,0.0009679794311523438,36206.13082312325,32162.97159174359,4.192751069254284,-1.4460683420814988
27,0.0009980201721191406,36170.56589994112,32139.643193945984,4.191755165360568,-1.445071100417873
28,0.0010280609130859375,36135.035422288754,32116.331695249355,4.1907595353245,-1.444074043227902
29,0.0010576248168945312,36099.53955136754,32093.03721960398,4.189764184738939,-1.4430771742862383
30,0.0010876655578613281,36064.07843734819,32069.759883546256,4.188769118890999,-1.4420804971620351
31,0.0011172294616699219,36028.65221971548,32046.49979640501,4.187774342770975,-1.441084015224938
32,0.0011470317840576172,35993.2610276291,32023.257060521486,4.1867798610817735,-1.4400877316514213
33,0.001176595687866211,35957.90498029745,32000.03177148041,4.185785678248759,-1.4390916494314043
34,0.0012059211730957031,35922.584187360655,31976.824018349944,4.18479179842992,-1.43809577137508
35,0.0012357234954833984,35887.29874927983,31953.63388392818,4.183798225526263,-1.4371001001198986
36,0.001264810562133789,35852.048757729994,31930.46144499407,4.18280496319235,-1.4361046381376499
37,0.0012936592102050781,35816.8342959935,31907.306772561253,4.181812014846911,-1.435109387741593
38,0.0013234615325927734,35781.65543935222,31884.169932132503,4.180819383683459,-1.434114351093589
39,0.0013535022735595703,35746.5122554759,31861.050983953824,4.179827072680841,-1.433119530211193
40,0.001383066177368164,35711.40480480528,31837.949983266277,4.178835084613686,-1.4321249269746716
41,0.0014128684997558594,35676.3331409278,31814.86698055476,4.1778434220626774,-1.4311305431339112
