experiment_num,timestamp,function,dimension,method,success,iterations,runtime,f_initial,f_final,initial_distance_to_minimum,final_distance_to_minimum,initial_grad_norm,final_grad_norm,relative_improvement_f,relative_improvement_dist,relative_improvement_grad,success_f_15,success_f_30,success_f_45,success_f_60,success_f_75,success_f_90,success_dist_15,success_dist_30,success_dist_45,success_dist_60,success_dist_75,success_dist_90,x_initial,x_final
1,20250117_051146,ackley,2,GradientDescent,True,212,0.014499187469482422,9.363319080870282,8.813151774134408,4.1959818254260774,4.09313950218693,6.5115583473487275,9.560749641376142e-05,0.05875772276733501,0.02450971608503197,0.9999853172633472,False,False,False,False,False,False,False,False,False,False,False,False,"[4.042298331824767, -1.1252056149134084]","[3.9709194699917676, -0.9927686272255843]"
2,20250117_051146,ackley,2,GradientDescent,True,279,0.014139413833618164,8.039163170274279,5.3818641875799464,2.467983561006474,2.1965568597343794,3.3845485804027184,9.740592089740843e-05,0.3305442278519732,0.10997913663630864,0.9999712204098763,True,True,False,False,False,False,False,False,False,False,False,False,"[-2.372335268548056, 0.6804176886304611]","[-1.9646178937267578, 0.9824146628052722]"
3,20250117_051146,ackley,2,GradientDescent,False,227,0.011282205581665039,5.739412156333675,5.38186418758956,2.0617534828862327,2.1965543755838404,4.230969233304195,9.951464770339744e-05,0.062296966833013695,-0.06538167332638668,0.9999764794678911,False,False,False,False,False,False,False,False,False,False,False,False,"[1.854384756124182, 0.9011573671938603]","[1.9646148682873943, 0.9824151587799418]"
4,20250117_051146,ackley,2,GradientDescent,False,259,0.012941598892211914,7.4702642164703015,6.55964537572196,2.550213529557045,2.7922949472746974,2.8709222601310245,9.78578366525876e-05,0.12189914765539696,-0.0949259404798547,0.9999659141461225,False,False,False,False,False,False,False,False,False,False,False,False,"[-1.8917008149773724, -1.7102798229967362]","[-1.9744511093989712, -1.9744502751826842]"
5,20250117_051146,ackley,2,GradientDescent,True,287,0.014521598815917969,9.556777276543375,6.882582646893136,3.295835055924638,2.964619950511745,3.867191014817431,9.902321794037121e-05,0.27982180103892496,0.10049504899145244,0.9999743940194418,True,False,False,False,False,False,False,False,False,False,False,False,"[0.4135129473956951, -3.2697913936821545]","[1.7844908075796533e-06, -2.964619950511208]"
6,20250117_051146,ackley,2,GradientDescent,True,228,0.011631250381469727,6.593020012610101,5.381864187588555,2.4184815819547265,2.196558345951356,8.392878700283974,9.914629125814117e-05,0.18370273754744199,0.09176139180022287,0.9999881868552138,True,False,False,False,False,False,False,False,False,False,False,False,"[1.1421489410047003, -2.131794774084991]","[0.9824171050455262, -1.9646183341510697]"
7,20250117_051146,ackley,2,GradientDescent,False,236,0.011959552764892578,8.702297457216225,7.961711274785074,3.3682099526491016,3.5732930337827318,4.571391119577768,9.879181928230325e-05,0.08510237509946682,-0.060887855572165875,0.9999783891124827,False,False,False,False,False,False,False,False,False,False,False,False,"[-1.821547700392366, -2.8331611779635386]","[-1.9821387022311128, -2.973137950112265]"
8,20250117_051146,ackley,2,GradientDescent,True,389,0.018961191177368164,10.20061762803767,6.559645375721427,3.5427033152367535,2.792298505883357,1.794866637173854,9.778750619337493e-05,0.3569364508192696,0.2118170059925687,0.9999455182328492,True,True,False,False,False,False,True,False,False,False,False,False,"[-2.5690299674678165, 2.4394326811867124]","[-1.9744537894856096, 1.974452627728593]"
9,20250117_051146,ackley,2,GradientDescent,False,262,0.012952089309692383,10.04208428734801,8.813151774138543,3.822634555697435,4.0931361793602745,3.3109431216319893,9.701219173791381e-05,0.12237823125601471,-0.07076313985067473,0.9999706995293564,False,False,False,False,False,False,False,False,False,False,False,False,"[-3.745669829846125, 0.7632119444771726]","[-3.970916596635002, 0.9927664203410174]"
10,20250117_051146,ackley,2,GradientDescent,True,225,0.011198997497558594,6.553740961111906,5.381864187576294,2.293016342017107,2.196557162494339,6.400499017609384,9.547885664973879e-05,0.17881035892160002,0.042066503301897526,0.9999850825917812,True,False,False,False,False,False,False,False,False,False,False,False,"[-1.2271875758997899, 1.9369911198337257]","[-0.9824178389395093, 1.9646166439890016]"
11,20250117_051146,ackley,2,GradientDescent,True,247,0.012336015701293945,7.464874405659788,5.3818641875847995,2.3661147045331217,2.1965569135700447,5.401037119474124,9.995461387404753e-05,0.27904156250715656,0.07166085001637057,0.9999814934406739,True,False,False,False,False,False,False,False,False,False,False,False,"[-0.7310212433125762, 2.2503570243038316]","[-0.9824146539907448, 1.9646179583258945]"
