function,dimension,method,initial_value_mean,initial_value_std,final_value_mean,final_value_std,iterations_mean,iterations_std,runtime_mean,runtime_std,success_rate,distance_to_minimum_mean,distance_to_minimum_std,f_error_mean,f_error_std,initial_gradient_norm_mean,initial_gradient_norm_std,final_gradient_norm_mean,final_gradient_norm_std,mean_cosine_similarity,std_cosine_similarity,mean_gradient_angle,std_gradient_angle,convergence_rate_mean,convergence_rate_std,early_convergence_rate_mean,time_to_improvement_mean
ackley,2,gradient_descent,8.36607712710307,0.8636313419183317,6.559645375627877,0.0,41.5,12.5,0.01215982437133789,0.0058634281158447266,1.0,2.7922967772222167,5.521734403046712e-09,6.559645375627877,0.0,1.9772447693163868,0.9504696604149477,2.987290867285297e-07,2.96939343109022e-10,0.999238733445017,0.0005319736709012979,1.4465814649409006,0.5201136634830237,-0.03998664100831306,0.008559960689751022,-0.0542271917013875,16.5
ackley,2,sgd,8.36607712710307,0.8636313419183317,6.559645813634283,9.911630627357226e-08,1000.0,0.0,0.18313515186309814,0.01545250415802002,0.0,2.7922815796824327,0.0001303032116479752,6.559645813634283,9.911630627357226e-08,1.9772447693163868,0.9504696604149477,0.006619464006850156,0.0007573870701175892,0.4182381633341862,0.018086706398767083,58.65097989541944,1.6740276434939858,-0.0018046266867820047,0.0008627684743276976,-0.05419918712616063,16.5
ackley,2,sgd_momentum,8.36607712710307,0.8636313419183317,5.970761694500684,0.5888861158717162,1000.0,0.0,0.1668788194656372,0.0022085905075073242,0.0,2.4948723165985482,0.29769212376597154,5.970761694500684,0.5888861158717162,1.9772447693163868,0.9504696604149477,0.024890483730508655,0.009087819144941101,0.6316888853357026,0.017257803837079033,42.54803797605295,1.14454429978543,-0.002392922510092294,0.0014510663913986494,-0.05641003473464838,7.5
ackley,2,momentum,8.36607712710307,0.8636313419183317,5.970754781559057,0.5888905940688378,311.0,14.0,0.05374443531036377,0.0049751996994018555,1.0,2.4944265773055063,0.29787017650759595,5.970754781559057,0.5888905940688378,1.9772447693163868,0.9504696604149477,1.4914615328188202e-06,1.633112256885095e-07,0.6497006381807444,0.026340045164587544,42.01154300935885,0.6637987531944702,-0.007483481540596942,0.004319721776983373,-0.05647779532482664,7.5
ackley,2,rmsprop,8.36607712710307,0.8636313419183317,6.560307305478549,0.0006619298506720384,521.5,478.5,0.09899008274078369,0.09053432941436768,0.5,2.7922828857941973,1.3889951064660622e-05,6.560307305478549,0.0006619298506720384,1.9772447693163868,0.9504696604149477,0.18715706596892476,0.18715693718759882,0.057979793681569525,0.941487030879685,85.11566850630136,84.32767599579272,-0.01204667759795743,0.009380604437425782,-0.07099924661178533,11.5
ackley,2,adam,8.36607712710307,0.8636313419183317,6.559645375629849,1.964650664376677e-12,830.5,169.5,0.14694392681121826,0.030051827430725098,0.5,2.7922969124692925,1.4800496317413092e-07,6.559645375629849,1.964650664376677e-12,1.9772447693163868,0.9504696604149477,1.056340988475591e-05,9.634046750853715e-06,0.9999974225020822,1.0206211797370024e-06,0.06096047016158804,0.010599083230797293,-0.002045782750323935,0.0006216129473679615,-0.0027865408240507427,174.5
ackley,2,trust-exact,8.36607712710307,0.8636313419183317,7.260678325213209,0.7010329495361729,26.0,0.0,0.022244691848754883,0.005513191223144531,1.0,3.1827966111500388,0.39049983360830787,7.260678325213209,0.7010329495361729,1.9772447693163868,0.9504696604149477,7.517140231380612e-05,3.00573296284732e-06,0.8872013956411362,0.04515786479296696,10.707199825059664,3.3076639499899674,-0.040940696366291156,0.006022162680820696,-0.110537455590981,2.5
ackley,2,trust-krylov,8.36607712710307,0.8636313419183317,7.26067832521232,0.7010329495360903,24.0,2.0,0.020845413208007812,0.0015099048614501953,1.0,3.1827951215743697,0.3904983440889349,7.26067832521232,0.7010329495360903,1.9772447693163868,0.9504696604149477,7.455442134147551e-05,2.9827723904881905e-06,0.8714669898231829,0.0603998120171404,12.128595043382083,4.696340483709646,-0.04502442323998912,0.010105889554488785,-0.11053851494707984,2.5
