experiment_num,timestamp,function,dimension,method,success,iterations,runtime,f_initial,f_final,initial_distance_to_minimum,final_distance_to_minimum,initial_grad_norm,final_grad_norm,relative_improvement_f,relative_improvement_dist,relative_improvement_grad,success_f_15,success_f_30,success_f_45,success_f_60,success_f_75,success_f_90,success_dist_15,success_dist_30,success_dist_45,success_dist_60,success_dist_75,success_dist_90,x_initial,x_final
1,20250116_094629,ackley,2,GradientDescent,True,212,0.020524024963378906,9.363319080870282,8.813151774134408,4.1959818254260774,4.09313950218693,6.5115583473487275,9.560749641376142e-05,0.05875772276733501,0.02450971608503197,0.9999853172633472,False,False,False,False,False,False,False,False,False,False,False,False,"[4.042298331824767, -1.1252056149134084]","[3.9709194699917676, -0.9927686272255843]"
1,20250116_094629,ackley,2,NewtonRaphson,False,9,0.0030236244201660156,9.363319080870282,12.256965218418312,4.1959818254260774,4.919308088015381,6.5115583473487275,2.385031531955429e-07,-0.3090406417378097,-0.17238546130162366,0.9999999633723388,False,False,False,False,False,False,False,False,False,False,False,False,"[4.042298331824767, -1.1252056149134084]","[4.669784587375794, -1.5468367633079543]"
1,20250116_094629,ackley,8,GradientDescent,True,1205,0.08310627937316895,4.598908254267247,2.245385082440191,2.061753482886579,1.633815767140697,2.3628197090556493,9.912562209953597e-05,0.5117569304939412,0.20756007898031706,0.9999580477419756,True,True,True,False,False,False,True,False,False,False,False,False,"[0.4113729431222925, -0.11450890246779624, 0.5364081907668768, 1.2613557932574624, -0.19392312926460434, -0.1939095322530578, 1.3078858731795115, 0.6355806076231377]","[4.3613039785723756e-07, -5.783053559235676e-08, 4.278438687927717e-06, 0.9432847026548467, -1.0616737434107696e-07, -1.0615798747664115e-07, 0.9432847793074073, 0.9432824369208599]"
1,20250116_094629,ackley,8,NewtonRaphson,False,8,0.0030128955841064453,4.598908254267247,9.578803596917794,2.061753482886579,7.460527454734937,2.3628197090556493,8.321607201305008e-05,-1.0828429416981278,-2.6185351530434904,0.9999647810318771,False,False,False,False,False,False,False,False,False,False,False,False,"[0.4113729431222925, -0.11450890246779624, 0.5364081907668768, 1.2613557932574624, -0.19392312926460434, -0.1939095322530578, 1.3078858731795115, 0.6355806076231377]","[-4.581037049114912, -1.525956664591524, -8.494259067304342e-08, 5.601617002792113, -1.8871426315353844e-07, -2.0519567103916112e-07, -1.331130007911586e-07, 0.9833171763521706]"
1,20250116_094630,ackley,32,GradientDescent,False,2000,0.1515796184539795,3.2030397789947114,1.8455361942682846,2.3661147045338917,2.56656071907903,1.1177175452187045,0.16962894654106786,0.4238172730881555,-0.08471525668685821,0.84823630328906,True,True,False,False,False,False,False,False,False,False,False,False,"[0.2207505590150883, -0.061447658759744096, 0.28784685515123604, 0.6768675508046944, -0.10406284590863463, -0.10405554949317992, 0.7018364782111708, 0.3410646635314747, -0.20864461483557195, 0.2411254686317422, -0.2059528888509849, -0.2069804188733647, 0.10753328928711792, -0.8503033001984597, -0.766590952711862, -0.24989279176901283, -0.450124150170221, 0.13965834055434767, -0.4035456228804762, -0.6276584423431832, 0.6513661491177452, -0.1003398921545008, 0.03001100098270683, -0.633189041736931, -0.24193550763264302, 0.04929640828112359, -0.5115265472071295, 0.16696836010789587, -0.2669368806220991, -0.12963503845765595, -0.2674114884938875, 0.8231926596070925]","[0.0009576646271194442, -0.00023172169455210084, 0.0014154183676368677, 0.9084083534399702, -0.000400513687886614, -0.00040048382331966714, 0.9111080701978909, 0.001936647258926258, -0.0008894288379699129, 0.0010808300701381597, -0.0008747015792246556, -0.000880305271452102, 0.00041476354641193644, -0.9165520925061206, -0.9145644449135928, -0.0011375185070003296, -0.0043301285044221646, 0.0005515877929965338, -0.0029369491293917186, -0.8926744310744127, 0.9033783236283688, -0.0003853257811917306, 0.00011225250120980801, -0.8961993014329482, -0.0010859677777455706, 0.00018518780793520153, -0.009257330985829178, 0.0006766744585009424, -0.0012551726533064603, -0.000507852338706094, -0.0012586031940055146, 0.9160516076662121]"
1,20250116_094630,ackley,32,NewtonRaphson,False,200,0.4782583713531494,3.2030397789947114,14.065800452589102,2.3661147045338917,27.050947044694965,1.1177175452187045,0.07111205517033302,-3.3913911231548046,-10.432643985036142,0.9363774367911363,False,False,False,False,False,False,False,False,False,False,False,False,"[0.2207505590150883, -0.061447658759744096, 0.28784685515123604, 0.6768675508046944, -0.10406284590863463, -0.10405554949317992, 0.7018364782111708, 0.3410646635314747, -0.20864461483557195, 0.2411254686317422, -0.2059528888509849, -0.2069804188733647, 0.10753328928711792, -0.8503033001984597, -0.766590952711862, -0.24989279176901283, -0.450124150170221, 0.13965834055434767, -0.4035456228804762, -0.6276584423431832, 0.6513661491177452, -0.1003398921545008, 0.03001100098270683, -0.633189041736931, -0.24193550763264302, 0.04929640828112359, -0.5115265472071295, 0.16696836010789587, -0.2669368806220991, -0.12963503845765595, -0.2674114884938875, 0.8231926596070925]","[-0.9914737831695941, 8.153696698961407e-13, 25.72382610199612, 8.153696838163884e-13, 8.153696838163884e-13, 8.153696838163884e-13, -0.5043354787357558, 1.5130194267669748, 0.5043354797134196, -1.5130194258034748, 0.5043354792257151, 0.5043354792256869, 8.153696698463596e-13, -0.9914737831360475, -0.9914737831509738, 1.5130194267669748, 3.5305326824049934, 8.153696698382559e-13, -0.9914737831509738, -0.5043354797085549, 0.5043354797142768, 8.153696837486727e-13, 8.153696837486727e-13, -0.5043354787368438, 1.5130194267820336, 8.15369683816445e-13, -0.5043354797160666, -0.5043354797085549, 4.539418725668877, 8.153696976111567e-13, 4.53941872573143, 0.9914737819500998]"
1,20250116_094630,ackley,128,GradientDescent,False,2000,0.20163440704345703,1.8024654543203167,0.19519146703353885,2.1223254246640932,0.3848074031671261,0.9188171606551662,0.6488142482697575,0.8917086224506074,0.8186859570661598,0.29385923984362894,True,True,True,True,True,False,True,True,True,True,True,False,"",""
1,20250116_094632,ackley,128,NewtonRaphson,False,200,1.4591598510742188,1.8024654543203167,10.707053802663912,2.1223254246640932,40.449115307711835,0.9188171606551662,0.041339823814071905,-4.9402269136422285,-18.058865731730958,0.9550075623483193,False,False,False,False,False,False,False,False,False,False,False,False,"",""
1,20250116_094632,ackley,512,GradientDescent,False,2000,0.26027846336364746,0.8754455233730352,0.4372575645790815,2.336116706504052,1.406561769766954,0.502036503301425,0.4234630594993753,0.5005313832728777,0.3979060353231054,0.15650942368800994,True,True,True,False,False,False,True,True,False,False,False,False,"",""
1,20250116_094646,ackley,512,NewtonRaphson,False,200,14.206002712249756,0.8754455233730352,8.715440732769402,2.336116706504052,59.50460486283042,0.502036503301425,0.08374892989910364,-8.955434690201363,-24.471589110750283,0.8331815926762991,False,False,False,False,False,False,False,False,False,False,False,False,"",""
