function,dimension,experiment,method,optimizer_type,start_distance,final_value,iterations,runtime,success,distance_to_minimum,f_error,initial_gradient_norm,final_gradient_norm,computation_error
rastrigin,2,0,gradient_descent,dimension,4.969678301484693,29.8375981112384,1000,0.1453993320465088,False,3.370862572770151,29.8375981112384,60.11158421862222,56.613000658891174,False
rastrigin,2,1,sgd,dimension,4.969678301484693,14.88501451788608,1000,0.15380620956420898,False,2.9835280902375625,14.88501451788608,60.11158421862222,55.6387429910748,False
rastrigin,2,2,sgd_momentum,dimension,4.969678301484693,196.265317289366,1000,0.15890979766845703,False,13.92750402622796,196.265317289366,60.11158421862222,30.736961820194995,False
rastrigin,2,3,momentum,dimension,4.969678301484693,197.25118127285376,1000,0.14628100395202637,False,13.956870813618995,197.25118127285376,60.11158421862222,30.451986919908027,False
rastrigin,2,4,rmsprop,dimension,4.969678301484693,25.878549118352286,1000,0.1538858413696289,False,5.0692820239668634,25.878549118352286,60.11158421862222,2.7869545053050544,False
rastrigin,2,5,adam,dimension,4.969678301484693,25.86868199188122,1000,0.1570289134979248,False,5.073213469805177,25.86868199188122,60.11158421862222,0.0004414591104400234,False
rastrigin,2,6,trust-exact,dimension,4.969678301484693,25.868681991635516,5,0.003164052963256836,True,5.073213688115702,25.868681991635516,60.11158421862222,1.2944220921999072e-11,False
rastrigin,2,7,trust-krylov,dimension,4.969678301484693,25.868681991636024,5,0.005896568298339844,True,5.073213714313402,25.868681991636024,60.11158421862222,1.9957968247080087e-05,False
rastrigin,2,8,gradient_descent,dimension,2.373377570624953,38.40032355960174,1000,0.14029598236083984,False,2.699463097620872,38.40032355960174,61.85053517541833,79.0799526765318,False
rastrigin,2,9,sgd,dimension,2.373377570624953,24.42609094448826,1000,0.148512601852417,False,2.5164059299482675,24.42609094448826,61.85053517541833,66.25398213235546,False
rastrigin,2,10,sgd_momentum,dimension,2.373377570624953,65.21627102992969,1000,0.14881658554077148,False,7.9224684245039105,65.21627102992969,61.85053517541833,33.77453064452531,False
rastrigin,2,11,momentum,dimension,2.373377570624953,197.2265095504381,1000,0.1485309600830078,False,13.968294767469166,197.2265095504381,61.85053517541833,30.513447975009168,False
rastrigin,2,12,rmsprop,dimension,2.373377570624953,4.974790247647379,72,0.013683319091796875,True,2.224790639037373,4.974790247647379,61.85053517541833,1.9005414708672682e-07,False
rastrigin,2,13,adam,dimension,2.373377570624953,4.974790258852817,1000,0.16303086280822754,False,2.224795017259793,4.974790258852817,61.85053517541833,0.002979502828221275,False
rastrigin,2,14,trust-exact,dimension,2.373377570624953,4.974790247647379,7,0.0073032379150390625,True,2.224790639251692,4.974790247647379,61.85053517541833,2.6148018306701567e-12,False
rastrigin,2,15,trust-krylov,dimension,2.373377570624953,4.97479024764738,9,0.008860588073730469,True,2.2247906392517414,4.97479024764738,61.85053517541833,2.8720797110101743e-11,False
