optimizer,lr,beta1,beta2,epsilon,mean_final_value,std_final_value,mean_iterations,success_rate,mean_distance_to_minimum,std_distance_to_minimum
Adam,0.1,0.99,0.999,1e-06,3.648061888392101,0.9852218530849579,1000.0,0.0,3.161405818859233,0.9597541477849904
Adam,0.046415888336127774,0.95,0.999,1e-07,3.8162430110641656,0.9147726962131156,595.05,1.0,3.322335679244065,0.896661091388114
Adam,0.00021544346900318845,0.99,0.9999,1e-07,4.460385737467009,0.9388312505024697,1000.0,0.0,3.4206915617359135,0.9037256196296973
Adam,0.004641588833612777,0.99,0.999,1e-08,3.8162978462359307,0.9147798009837502,1000.0,0.0,3.322405358448915,0.8970853919633083
Adam,0.001,0.99,0.9999,1e-06,3.8164785337699825,0.9147772415369281,1000.0,0.0,3.3240636460987503,0.8969411574975842
Adam,0.1,0.99,0.9995,1e-08,3.6480606130955904,0.9852242316591792,1000.0,0.0,3.1620246486839294,0.9597937724950383
Adam,0.001,0.99,0.9995,1e-07,3.8164849662417857,0.9147743388090304,1000.0,0.0,3.3239373089881012,0.8969310254369375
Adam,0.00046415888336127773,0.95,0.999,1e-06,3.824757938770331,0.9098503097417091,1000.0,0.0,3.3376034301994038,0.8929408936910533
Adam,0.046415888336127774,0.9,0.9995,1e-06,3.8162430110641714,0.9147726962131143,292.4,1.0,3.322335677282555,0.8966610834227445
Adam,0.002154434690031882,0.9,0.9999,1e-07,3.8162430110641665,0.9147726962131112,514.35,1.0,3.3223356954576637,0.8966610703839129
Adam,0.00046415888336127773,0.9,0.999,1e-08,3.8248201257683,0.9101326677659911,1000.0,0.0,3.3380428337747587,0.8932296685530694
Adam,0.021544346900318822,0.99,0.9995,1e-08,3.736950714966819,0.9490708629389906,1000.0,0.0,3.2468050216059354,0.9294412010462606
Adam,0.021544346900318822,0.99,0.999,1e-07,3.7369580862527045,0.9490699782055222,1000.0,0.0,3.246617830010783,0.9295306167944437
Adam,0.1,0.9,0.9995,1e-08,3.8162430110641985,0.9147726962131469,300.85,1.0,3.322335670306912,0.8966610915841223
Adam,0.1,0.99,0.9999,1e-08,3.648056595829366,0.985223815326096,1000.0,0.0,3.1617788656374755,0.9595261516981246
Adam,0.021544346900318822,0.9,0.9995,1e-07,3.8162430110641616,0.9147726962131159,299.1,1.0,3.322335676072111,0.8966610829101455
Adam,0.01,0.95,0.999,1e-08,3.8162430110641674,0.9147726962131151,611.85,1.0,3.3223356784381095,0.8966610758248583
Adam,0.002154434690031882,0.99,0.999,1e-08,3.8163313218478336,0.9147624167380229,1000.0,0.0,3.3222457053998644,0.896132977575368
Adam,0.004641588833612777,0.99,0.999,1e-07,3.8162978462219415,0.9147798009413007,1000.0,0.0,3.3224053532984876,0.897085391603689
Adam,0.00046415888336127773,0.95,0.9999,1e-07,3.822826982237739,0.9111833509516383,1000.0,0.0,3.3366160878077173,0.893576601270208
Adam,0.001,0.9,0.999,1e-06,3.816243039931609,0.9147726580917301,998.4,0.05,3.3223557050864634,0.8966440448023992
Adam,0.1,0.95,0.999,1e-07,3.736902623154676,0.9491025976752671,589.85,1.0,3.2466169091465993,0.9296775898670889
Adam,0.021544346900318822,0.99,0.9999,1e-06,3.736944720470187,0.9490808583965896,1000.0,0.0,3.2466693081242446,0.9296929474672718
Adam,0.046415888336127774,0.95,0.9995,1e-06,3.816243011064171,0.9147726962131091,590.55,1.0,3.3223356700556437,0.8966610849939658
Adam,0.0001,0.99,0.9999,1e-08,5.23998882737553,1.0220002427046355,1000.0,0.0,3.4882053443237133,0.933482889018312
Adam,0.01,0.99,0.9995,1e-08,3.816275750971223,0.9147727389115224,1000.0,0.0,3.322484288464272,0.8969301006133766
Adam,0.00021544346900318845,0.9,0.9999,1e-08,4.3313789716737325,0.9083398580527219,1000.0,0.0,3.4213127283121714,0.9028062894406748
Adam,0.021544346900318822,0.99,0.9995,1e-06,3.736950714672145,0.9490708638622375,1000.0,0.0,3.246805050781923,0.9294412569881797
Adam,0.1,0.99,0.999,1e-08,3.6480618861045095,0.9852218525926888,1000.0,0.0,3.1614086300815876,0.959761436232708
Adam,0.046415888336127774,0.9,0.9995,1e-06,3.8162430110641714,0.9147726962131143,292.4,1.0,3.322335677282555,0.8966610834227445
Adam,0.0001,0.9,0.999,1e-08,5.218945374013779,1.018097052869797,1000.0,0.0,3.4906937472576915,0.9323834503631739
Adam,0.004641588833612777,0.95,0.9995,1e-06,3.8162430110641687,0.9147726962131141,634.05,1.0,3.322335671994014,0.8966610892917274
Adam,0.00021544346900318845,0.9,0.9999,1e-07,4.331379208639074,0.9083399053817012,1000.0,0.0,3.421312726604124,0.9028062967277418
Adam,0.01,0.99,0.9999,1e-06,3.8162744936767923,0.9147750181192843,1000.0,0.0,3.322581187366225,0.8969124488721053
Adam,0.046415888336127774,0.9,0.9999,1e-06,3.8162430110641687,0.9147726962131097,292.4,1.0,3.3223356713181773,0.8966610923079007
Adam,0.001,0.95,0.999,1e-07,3.8162430144954285,0.9147726912578844,976.5,0.4,3.322340876708057,0.8966549425199244
Adam,0.1,0.9,0.9999,1e-08,3.816243011064239,0.9147726962131979,301.2,1.0,3.322335655110011,0.896661062870409
Adam,0.001,0.99,0.9999,1e-06,3.8164785337699825,0.9147772415369281,1000.0,0.0,3.3240636460987503,0.8969411574975842
Adam,0.002154434690031882,0.99,0.999,1e-06,3.816331322138649,0.9147624180462568,1000.0,0.0,3.3222456695143796,0.8961328853645051
Adam,0.004641588833612777,0.9,0.9999,1e-06,3.816243011064164,0.9147726962131119,336.95,1.0,3.3223356742162364,0.8966610834056935
